#locus_tag	gene_name
AN0004	AN0004
AN0005	AN0005
AN0006	AN0006
AN0007	AN0007
AN0008	CYP669A1P
AN0009	AN0009
AN0010	AN0010
AN0011	AN0011
AN0012	AN0012
AN0013	AN0013
AN0014	AN0014
AN0015	AN0015
AN0016	AN0016
AN0017	AN0017
AN0018	AN0018
AN0019	AN0019
AN0020	AN0020
AN0021	AN0021
AN0022	aglA
AN0023	AN0023
AN0024	AN0024
AN0025	AN0025
AN0026	AN0026
AN0027	AN0027
AN0028	AN0028
AN0029	AN0029
AN0030	AN0030
AN0031	AN0031
AN0032	AN0032
AN0033	AN0033
AN0034	AN0034
AN0035	AN0035
AN0036	AN0036
AN0038	atmA
AN0039	AN0039
AN0040	AN0040
AN0041	AN0041
AN0042	AN0042
AN0043	AN0043
AN0044	AN0044
AN0045	AN0045
AN0046	AN0046
AN0048	AN0048
AN0049	AN0049
AN0050	AN0050
AN0051	AN0051
AN0052	AN0052
AN0053	AN0053
AN0054	AN0054
AN0055	tmpA
AN0056	AN0056
AN0057	AN0057
AN0058	AN0058
AN0059	AN0059
AN0061	AN0061
AN0062	AN0062
AN0063	AN0063
AN0064	AN0064
AN0065	AN0065
AN0066	AN0066
AN0067	AN0067
AN0068	AN0068
AN0069	srgL
AN0070	uaW
AN0071	AN0071
AN0072	AN0072
AN0073	AN0073
AN0074	AN0074
AN0075	tigA
AN0076	AN0076
AN0077	AN0077
AN0078	samB
AN0080	AN0080
AN0081	sfaD
AN0082	phnA
AN0083	taf30
AN0084	AN0084
AN0085	AN0085
AN0086	AN0086
AN0087	AN0087
AN0088	AN0088
AN0089	rabS
AN0090	AN0090
AN0091	AN0091
AN0092	AN0092
AN0093	AN0093
AN0094	AN0094
AN0095	AN0095
AN0096	AN0096
AN0097	AN0097
AN0098	nirA
AN0099	AN0099
AN0100	AN0100
AN0101	AN0101
AN0102	AN0102
AN0103	AN0103
AN0104	AN0104
AN0105	AN0105
AN0106	pkcA
AN0107	AN0107
AN0108	AN0108
AN0109	AN0109
AN0110	AN0110
AN0111	AN0111
AN0112	geaA
AN0113	bud3
AN0114	AN0114
AN0116	AN0116
AN0117	AN0117
AN0118	nudA
AN0118-uORF	AN0118-uORF
AN0119	dclA
AN0120	tapA
AN0121	hemC
AN0122	AN0122
AN0123	AN0123
AN0124	rio2
AN0126	AN0126
AN0127	AN0127
AN0128	AN0128
AN0129	ppsA
AN0130	AN0130
AN0131	AN0131
AN0132	AN0132
AN0133	AN0133
AN0134	rmtC
AN0135	AN0135
AN0136	AN0136
AN0137	AN0137
AN0138	AN0138
AN0139	AN0139
AN0140	AN0140
AN0141	AN0141
AN0142	AN0142
AN0143	AN0143
AN0144	nrc2
AN0146	mdpC
AN0147	mdpD
AN0148	mdpE
AN0149	mdpF
AN0150	mdpG
AN0153	AN0153
AN0154	AN0154
AN0156	AN0156
AN0157	AN0157
AN0158	AN0158
AN0159	AN0159
AN0160	AN0160
AN0161	AN0161
AN0162	AN0162
AN0163	AN0163
AN0164	ppg1A
AN0165	AN0165
AN0166	AN0166
AN0167	AN0167
AN0168	AN0168
AN0169	AN0169
AN0170	trxA
AN0171	AN0171
AN0172	AN0172
AN0173	AN0173
AN0174	AN0174
AN0176	sreA
AN0177	AN0177
AN0178	AN0178
AN0179	AN0179
AN0180	AN0180
AN0181	AN0181
AN0182	rasA
AN0183	AN0183
AN0184	AN0184
AN0186	vapA
AN0187	AN0187
AN0189	AN0189
AN0190	AN0190
AN0191	AN0191
AN0192	AN0192
AN0193	AN0193
AN0194	lacC
AN0195	AN0195
AN0196	AN0196
AN0197	AN0197
AN0198	AN0198
AN0200	AN0200
AN0201	AN0201
AN0202	arcA
AN0203	AN0203
AN0204	AN0204
AN0205	pantoA
AN0206	AN0206
AN0207	AN0207
AN0208	AN0208
AN0209	mepB
AN0210	AN0210
AN0211	AN0211
AN0212	AN0212
AN0213	AN0213
AN0214	AN0214
AN0215	AN0215
AN0216	AN0216
AN0217	AN0217
AN0218	AN0218
AN0219	AN0219
AN0220	AN0220
AN0221	AN0221
AN0223	AN0223
AN0224	AN0224
AN0225	AN0225
AN0226	AN0226
AN0227	AN0227
AN0228	AN0228
AN0229	AN0229
AN0230	AN0230
AN0231	ivoB
AN0232	ureD
AN0233	AN0233
AN0234	AN0234
AN0235	ireA
AN0237	AN0237
AN0239	AN0239
AN0240	pppA
AN0241	sodA
AN0242	AN0242
AN0243	AN0243
AN0244	vps8
AN0244-uORF	AN0244-uORF
AN0245	AN0245
AN0246	AN0246
AN0247	AN0247
AN0248	pdiB
AN0249	AN0249
AN0250	xtrD
AN0251	AN0251
AN0252	AN0252
AN0253	top1
AN0254	AN0254
AN0255	AN0255
AN0256	palB
AN0257	antA
AN0258	AN0258
AN0259	AN0259
AN0260	AN0260
AN0261	sec23
AN0262	AN0262
AN0263	AN0263
AN0264	AN0264
AN0265	AN0265
AN0266	AN0266
AN0267	AN0267
AN0268	mesA
AN0270	AN0270
AN0271	AN0271
AN0272	AN0272
AN0273	rsrA
AN0274	AN0274
AN0275	AN0275
AN0276	AN0276
AN0278	AN0278
AN0279	flbD
AN0280	AN0280
AN0281	bubA
AN0282	AN0282
AN0283	AN0283
AN0284	AN0284
AN0285	AN0285
AN0286	AN0286
AN0287	AN0287
AN0288	AN0288
AN0289	AN0289
AN0290	AN0290
AN0291	AN0291
AN0292	AN0292
AN0293	AN0293
AN0294	AN0294
AN0295	AN0295
AN0296	AN0296
AN0297	AN0297
AN0298	AN0298
AN0299	AN0299
AN0300	AN0300
AN0301	AN0301
AN0302	AN0302
AN0303	AN0303
AN0304	AN0304
AN0305	AN0305
AN0306	AN0306
AN0307	AN0307
AN0309	AN0309
AN0310	AN0310
AN0311	AN0311
AN0312	AN0312
AN0313	AN0313
AN0314	AN0314
AN0315	AN0315
AN0316	tubA
AN0317	AN0317
AN0318	AN0318
AN0319	AN0319
AN0321	AN0321
AN0322	AN0322
AN0323	AN0323
AN0324	AN0324
AN0325	AN0325
AN0326	AN0326
AN0327	AN0327
AN0328	AN0328
AN0329	AN0329
AN0330	AN0330
AN0331	AN0331
AN0332	AN0332
AN0333	AN0333
AN0334	AN0334
AN0335	AN0335
AN0336	AN0336
AN0337	AN0337
AN0338	CYP680A1
AN0339	AN0339
AN0340	AN0340
AN0341	AN0341
AN0342	AN0342
AN0343	AN0343
AN0346	AN0346
AN0347	rabE
AN0348	AN0348
AN0349	AN0349
AN0350	AN0350
AN0351	gfdA
AN0353	AN0353
AN0354	aroG
AN0355	AN0355
AN0356	AN0356
AN0357	AN0357
AN0359	sgdA
AN0360	AN0360
AN0362	AN0362
AN0363	velB
AN0364	AN0364
AN0365	AN0365
AN0366	AN0366
AN0367	AN0367
AN0368	AN0368
AN0369	AN0369
AN0370	AN0370
AN0372	AN0372
AN0374	AN0374
AN0376	AN0376
AN0377	AN0377
AN0378	AN0378
AN0379	AN0379
AN0380	cyp10
AN0381	AN0381
AN0382	AN0382
AN0383	dfgE
AN0384	AN0384
AN0385	AN0385
AN0386	AN0386
AN0387	cryA
AN0388	araR
AN0389	AN0389
AN0390	AN0390
AN0391	AN0391
AN0392	AN0392
AN0393	dfgC
AN0394	AN0394
AN0395	AN0395
AN0396	AN0396
AN0397	AN0397
AN0398	AN0398
AN0399	nrtB
AN0400	AN0400
AN0401	AN0401
AN0402	AN0402
AN0403	AN0403
AN0404	AN0404
AN0405	AN0405
AN0406	AN0406
AN0407	AN0407
AN0408	AN0408
AN0409	AN0409
AN0410	bimG
AN0411	AN0411
AN0412	AN0412
AN0413	AN0413
AN0414	AN0414
AN0416	AN0416
AN0417	sec61
AN0418	ureA
AN0419	AN0419
AN0420	nudG
AN0421	AN0421
AN0422	abaA
AN0423	xyrA
AN0424	AN0424
AN0427	AN0427
AN0428	AN0428
AN0429	AN0429
AN0430	AN0430
AN0432	AN0432
AN0433	AN0433
AN0434	AN0434
AN0435	AN0435
AN0436	AN0436
AN0437	AN0437
AN0438	AN0438
AN0439	AN0439
AN0440	AN0440
AN0441	AN0441
AN0442	AN0442
AN0443	AN0443
AN0444	hulB
AN0445	AN0445
AN0446	AN0446
AN0447	AN0447
AN0448	AN0448
AN0449	AN0449
AN0450	AN0450
AN0451	AN0451
AN0452	AN0452
AN0453	pclA
AN0454	AN0454
AN0456	AN0456
AN0457	AN0457
AN0458	AN0458
AN0459	CYP578C1
AN0460	AN0460
AN0461	AN0461
AN0462	secC
AN0463	AN0463
AN0464	AN0464
AN0465	AN0465
AN0466	AN0466
AN0467	AN0467
AN0468	AN0468
AN0469	AN0469
AN0470	AN0470
AN0471	vcxA
AN0472	engA
AN0473	AN0473
AN0474	AN0474
AN0475	AN0475
AN0476	AN0476
AN0477	AN0477
AN0478	AN0478
AN0479	bglO
AN0480	AN0480
AN0481	AN0481
AN0482	AN0482
AN0483	AN0483
AN0484	AN0484
AN0485	AN0485
AN0486	AN0486
AN0487	AN0487
AN0489	AN0489
AN0490	AN0490
AN0492	AN0492
AN0493	AN0493
AN0494	cbhB
AN0495	AN0495
AN0497	AN0497
AN0498	AN0498
AN0499	AN0499
AN0500	AN0500
AN0501	AN0501
AN0502	AN0502
AN0504	sitA
AN0505	AN0505
AN0506	AN0506
AN0507	AN0507
AN0508	AN0508
AN0509	AN0509
AN0510	AN0510
AN0511	AN0511
AN0512	AN0512
AN0515	AN0515
AN0517	AN0517
AN0518	AN0518
AN0519	AN0519
AN0520	AN0520
AN0521	AN0521
AN0522	AN0522
AN0523	pkdA
AN0524	AN0524
AN0525	AN0525
AN0526	AN0526
AN0527	AN0527
AN0528	AN0528
AN0529	AN0529
AN0530	AN0530
AN0531	AN0531
AN0532	AN0532
AN0533	AN0533
AN0534	AN0534
AN0535	AN0535
AN0536	AN0536
AN0537	AN0537
AN0538	AN0538
AN0539	AN0539
AN0540	AN0540
AN0541	AN0541
AN0542	AN0542
AN0543	AN0543
AN0544	AN0544
AN0545	AN0545
AN0546	AN0546
AN0547	AN0547
AN0548	AN0548
AN0549	AN0549
AN0550	AN0550
AN0551	AN0551
AN0553	AN0553
AN0554	aldA
AN0556	mreA
AN0557	AN0557
AN0558	gelB
AN0559	AN0559
AN0560	AN0560
AN0561	AN0561
AN0562	AN0562
AN0563	AN0563
AN0564	AN0564
AN0565	pyrABCN
AN0566	trp2
AN0567	AN0567
AN0568	AN0568
AN0569	AN0569
AN0570	AN0570
AN0571	AN0571
AN0572	AN0572
AN0573	AN0573
AN0574	AN0574
AN0575	AN0575
AN0576	vps15
AN0577	AN0577
AN0578	AN0578
AN0579	AN0579
AN0580	AN0580
AN0581	AN0581
AN0582	AN0582
AN0583	AN0583
AN0584	AN0584
AN0585	AN0585
AN0586	AN0586
AN0587	AN0587
AN0588	AN0588
AN0589	AN0589
