#locus_tag	gene_name
PDE_00001	PDE_00001
PDE_00002	PDE_00002
PDE_00003	PDE_00003
PDE_00004	PDE_00004
PDE_00005	PDE_00005
PDE_00006	PDE_00006
PDE_00007	PDE_00007
PDE_00008	PDE_00008
PDE_00009	PDE_00009
PDE_00010	PDE_00010
PDE_00011	PDE_00011
PDE_00012	PDE_00012
PDE_00013	PDE_00013
PDE_00014	PDE_00014
PDE_00015	PDE_00015
PDE_00016	PDE_00016
PDE_00017	PDE_00017
PDE_00018	PDE_00018
PDE_00019	PDE_00019
PDE_00020	PDE_00020
PDE_00021	PDE_00021
PDE_00022	PDE_00022
PDE_00023	PDE_00023
PDE_00024	PDE_00024
PDE_00025	PDE_00025
PDE_00026	PDE_00026
PDE_00027	PDE_00027
PDE_00028	PDE_00028
PDE_00029	PDE_00029
PDE_00030	PDE_00030
PDE_00031	PDE_00031
PDE_00032	PDE_00032
PDE_00033	PDE_00033
PDE_00034	PDE_00034
PDE_00035	PDE_00035
PDE_00036	PDE_00036
PDE_00037	PDE_00037
PDE_00038	PDE_00038
PDE_00039	PDE_00039
PDE_00040	PDE_00040
PDE_00041	PDE_00041
PDE_00042	PDE_00042
PDE_00043	PDE_00043
PDE_00044	PDE_00044
PDE_00045	PDE_00045
PDE_00046	PDE_00046
PDE_00047	PDE_00047
PDE_00048	PDE_00048
PDE_00049	PDE_00049
PDE_00050	PDE_00050
PDE_00051	PDE_00051
PDE_00052	PDE_00052
PDE_00053	PDE_00053
PDE_00054	PDE_00054
PDE_00055	PDE_00055
PDE_00056	PDE_00056
PDE_00057	PDE_00057
PDE_00058	PDE_00058
PDE_00059	PDE_00059
PDE_00060	PDE_00060
PDE_00061	PDE_00061
PDE_00062	PDE_00062
PDE_00063	PDE_00063
PDE_00064	PDE_00064
PDE_00065	PDE_00065
PDE_00066	PDE_00066
PDE_00067	PDE_00067
PDE_00068	PDE_00068
PDE_00069	PDE_00069
PDE_00070	PDE_00070
PDE_00071	PDE_00071
PDE_00072	PDE_00072
PDE_00073	PDE_00073
PDE_00074	PDE_00074
PDE_00075	PDE_00075
PDE_00076	PDE_00076
PDE_00077	PDE_00077
PDE_00078	PDE_00078
PDE_00079	PDE_00079
PDE_00080	PDE_00080
PDE_00081	PDE_00081
PDE_00082	PDE_00082
PDE_00083	PDE_00083
PDE_00084	PDE_00084
PDE_00085	PDE_00085
PDE_00086	PDE_00086
PDE_00087	brlA
PDE_00088	PDE_00088
PDE_00089	PDE_00089
PDE_00090	PDE_00090
PDE_00091	PDE_00091
PDE_00092	PDE_00092
PDE_00093	PDE_00093
PDE_00094	PDE_00094
PDE_00095	PDE_00095
PDE_00096	PDE_00096
PDE_00097	PDE_00097
PDE_00098	PDE_00098
PDE_00099	PDE_00099
PDE_00100	PDE_00100
PDE_00101	PDE_00101
PDE_00102	PDE_00102
PDE_00103	PDE_00103
PDE_00104	PDE_00104
PDE_00105	PDE_00105
PDE_00106	PDE_00106
PDE_00107	PDE_00107
PDE_00108	PDE_00108
PDE_00110	PDE_00110
PDE_00111	PDE_00111
PDE_00112	PDE_00112
PDE_00113	PDE_00113
PDE_00114	PDE_00114
PDE_00115	PDE_00115
PDE_00116	PDE_00116
PDE_00117	PDE_00117
PDE_00118	PDE_00118
PDE_00119	PDE_00119
PDE_00120	PDE_00120
PDE_00121	PDE_00121
PDE_00122	PDE_00122
PDE_00123	PDE_00123
PDE_00124	PDE_00124
PDE_00125	PDE_00125
PDE_00126	PDE_00126
PDE_00127	PDE_00127
PDE_00128	PDE_00128
PDE_00129	PDE_00129
PDE_00130	PDE_00130
PDE_00131	PDE_00131
PDE_00132	PDE_00132
PDE_00133	PDE_00133
PDE_00134	PDE_00134
PDE_00135	PDE_00135
PDE_00136	PDE_00136
PDE_00137	PDE_00137
PDE_00138	PDE_00138
PDE_00139	PDE_00139
PDE_00140	PDE_00140
PDE_00141	PDE_00141
PDE_00142	PDE_00142
PDE_00143	PDE_00143
PDE_00144	PDE_00144
PDE_00145	PDE_00145
PDE_00146	PDE_00146
PDE_00147	PDE_00147
PDE_00148	PDE_00148
