#locus_tag	gene_name
PECH_000001	PECH_000001
PECH_000002	PECH_000002
PECH_000003	PECH_000003
PECH_000004	PECH_000004
PECH_000005	PECH_000005
PECH_000006	PECH_000006
PECH_000007	PECH_000007
PECH_000008	PECH_000008
PECH_000009	PECH_000009
PECH_000010	PECH_000010
PECH_000011	PECH_000011
PECH_000012	PECH_000012
PECH_000013	PECH_000013
PECH_000014	PECH_000014
PECH_000015	PECH_000015
PECH_000016	PECH_000016
PECH_000017	PECH_000017
PECH_000018	PECH_000018
PECH_000019	PECH_000019
PECH_000020	PECH_000020
PECH_000021	PECH_000021
PECH_000022	PECH_000022
PECH_000023	PECH_000023
PECH_000024	PECH_000024
PECH_000025	PECH_000025
PECH_000026	PECH_000026
PECH_000027	PECH_000027
PECH_000028	PECH_000028
PECH_000029	PECH_000029
PECH_000030	PECH_000030
PECH_000031	PECH_000031
PECH_000032	PECH_000032
PECH_000033	PECH_000033
PECH_000034	PECH_000034
PECH_000035	PECH_000035
PECH_000036	PECH_000036
PECH_000037	PECH_000037
PECH_000038	PECH_000038
PECH_000039	PECH_000039
PECH_000040	PECH_000040
PECH_000041	PECH_000041
PECH_000042	PECH_000042
PECH_000043	PECH_000043
PECH_000044	PECH_000044
PECH_000045	PECH_000045
PECH_000046	PECH_000046
PECH_000047	PECH_000047
PECH_000048	PECH_000048
PECH_000049	PECH_000049
PECH_000050	PECH_000050
PECH_000051	PECH_000051
PECH_000052	PECH_000052
PECH_000053	PECH_000053
PECH_000054	PECH_000054
PECH_000055	PECH_000055
PECH_000056	PECH_000056
PECH_000057	PECH_000057
PECH_000058	PECH_000058
PECH_000059	PECH_000059
PECH_000060	PECH_000060
PECH_000061	PECH_000061
PECH_000062	PECH_000062
PECH_000064	PECH_000064
PECH_000065	PECH_000065
PECH_000066	PECH_000066
PECH_000067	PECH_000067
PECH_000068	PECH_000068
PECH_000069	PECH_000069
PECH_000070	PECH_000070
PECH_000071	PECH_000071
PECH_000072	PECH_000072
PECH_000073	PECH_000073
PECH_000074	PECH_000074
PECH_000075	PECH_000075
PECH_000076	PECH_000076
PECH_000077	PECH_000077
PECH_000078	PECH_000078
PECH_000079	PECH_000079
PECH_000080	PECH_000080
PECH_000082	PECH_000082
PECH_000083	PECH_000083
PECH_000085	PECH_000085
PECH_000086	PECH_000086
PECH_000087	PECH_000087
PECH_000088	PECH_000088
PECH_000089	PECH_000089
PECH_000090	PECH_000090
PECH_000091	PECH_000091
PECH_000092	PECH_000092
PECH_000093	PECH_000093
PECH_000095	PECH_000095
PECH_000096	PECH_000096
PECH_000097	PECH_000097
PECH_000098	PECH_000098
PECH_000099	PECH_000099
PECH_000100	PECH_000100
PECH_000101	PECH_000101
PECH_000102	PECH_000102
PECH_000103	PECH_000103
PECH_000104	PECH_000104
PECH_000105	PECH_000105
PECH_000106	PECH_000106
PECH_000107	PECH_000107
PECH_000108	PECH_000108
PECH_000109	PECH_000109
PECH_000110	PECH_000110
PECH_000111	PECH_000111
PECH_000112	PECH_000112
PECH_000113	PECH_000113
PECH_000114	PECH_000114
PECH_000115	PECH_000115
PECH_000116	PECH_000116
PECH_000117	PECH_000117
PECH_000118	PECH_000118
PECH_000119	PECH_000119
PECH_000120	PECH_000120
PECH_000121	PECH_000121
PECH_000122	PECH_000122
PECH_000124	PECH_000124
PECH_000125	PECH_000125
PECH_000126	PECH_000126
PECH_000127	PECH_000127
PECH_000128	PECH_000128
PECH_000129	PECH_000129
PECH_000130	PECH_000130
PECH_000131	PECH_000131
PECH_000132	PECH_000132
PECH_000133	PECH_000133
PECH_000134	PECH_000134
PECH_000135	PECH_000135
PECH_000136	PECH_000136
PECH_000137	PECH_000137
PECH_000138	PECH_000138
PECH_000139	PECH_000139
PECH_000140	PECH_000140
PECH_000141	PECH_000141
PECH_000144	PECH_000144
PECH_000145	PECH_000145
PECH_000146	PECH_000146
PECH_000147	PECH_000147
PECH_000148	PECH_000148
PECH_000149	PECH_000149
PECH_000150	PECH_000150
PECH_000151	PECH_000151
PECH_000152	PECH_000152
PECH_000153	PECH_000153
PECH_000154	PECH_000154
PECH_000155	PECH_000155
PECH_000156	PECH_000156
PECH_000157	PECH_000157
PECH_000158	PECH_000158
PECH_000160	PECH_000160
PECH_000161	PECH_000161
PECH_000162	PECH_000162
PECH_000163	PECH_000163
PECH_000164	PECH_000164
PECH_000165	PECH_000165
PECH_000166	PECH_000166
PECH_000167	PECH_000167
PECH_000168	PECH_000168
PECH_000169	PECH_000169
PECH_000170	PECH_000170
PECH_000171	PECH_000171
PECH_000172	PECH_000172
PECH_000173	PECH_000173
PECH_000174	PECH_000174
PECH_000175	PECH_000175
PECH_000176	PECH_000176
PECH_000177	PECH_000177
PECH_000178	PECH_000178
PECH_000179	PECH_000179
PECH_000180	PECH_000180
PECH_000181	PECH_000181
PECH_000182	PECH_000182
PECH_000183	PECH_000183
PECH_000184	PECH_000184
PECH_000185	PECH_000185
PECH_000186	PECH_000186
PECH_000187	PECH_000187
PECH_000188	PECH_000188
PECH_000189	PECH_000189
PECH_000190	PECH_000190
PECH_000191	PECH_000191
PECH_000192	PECH_000192
PECH_000193	PECH_000193
PECH_000194	PECH_000194
PECH_000195	PECH_000195
PECH_000196	PECH_000196
PECH_000197	PECH_000197
PECH_000198	PECH_000198
PECH_000199	PECH_000199
PECH_000200	PECH_000200
PECH_000201	PECH_000201
PECH_000202	PECH_000202
PECH_000203	PECH_000203
PECH_000204	PECH_000204
PECH_000205	PECH_000205
PECH_000206	PECH_000206
PECH_000209	PECH_000209
PECH_000210	PECH_000210
PECH_000211	PECH_000211
PECH_000212	PECH_000212
PECH_000213	PECH_000213
PECH_000214	PECH_000214
PECH_000215	PECH_000215
PECH_000216	PECH_000216
PECH_000217	PECH_000217
PECH_000218	PECH_000218
PECH_000219	PECH_000219
PECH_000220	PECH_000220
PECH_000221	PECH_000221
PECH_000222	PECH_000222
PECH_000223	PECH_000223
PECH_000224	PECH_000224
PECH_000225	PECH_000225
PECH_000226	PECH_000226
PECH_000227	PECH_000227
PECH_000228	PECH_000228
PECH_000229	PECH_000229
PECH_000230	PECH_000230
PECH_000231	PECH_000231
PECH_000232	PECH_000232
PECH_000233	PECH_000233
PECH_000234	PECH_000234
PECH_000235	PECH_000235
PECH_000236	PECH_000236
PECH_000237	PECH_000237
PECH_000238	PECH_000238
PECH_000239	PECH_000239
PECH_000240	PECH_000240
PECH_000241	PECH_000241
PECH_000242	PECH_000242
PECH_000243	PECH_000243
PECH_000244	PECH_000244
PECH_000246	PECH_000246
PECH_000247	PECH_000247
PECH_000248	PECH_000248
PECH_000249	PECH_000249
PECH_000250	PECH_000250
PECH_000251	PECH_000251
PECH_000252	PECH_000252
PECH_000253	PECH_000253
PECH_000254	PECH_000254
PECH_000255	PECH_000255
PECH_000256	PECH_000256
PECH_000257	PECH_000257
PECH_000258	PECH_000258
PECH_000259	PECH_000259
PECH_000260	PECH_000260
PECH_000261	PECH_000261
PECH_000262	PECH_000262
PECH_000263	PECH_000263
PECH_000264	PECH_000264
PECH_000266	PECH_000266
PECH_000267	PECH_000267
PECH_000268	PECH_000268
PECH_000269	PECH_000269
PECH_000270	PECH_000270
PECH_000271	PECH_000271
PECH_000272	PECH_000272
PECH_000274	PECH_000274
PECH_000275	PECH_000275
PECH_000276	PECH_000276
PECH_000277	PECH_000277
PECH_000278	PECH_000278
PECH_000279	PECH_000279
PECH_000280	PECH_000280
PECH_000281	PECH_000281
PECH_000282	PECH_000282
PECH_000283	PECH_000283
PECH_000284	PECH_000284
PECH_000286	PECH_000286
PECH_000287	PECH_000287
PECH_000289	PECH_000289
PECH_000290	PECH_000290
PECH_000291	PECH_000291
PECH_000292	PECH_000292
PECH_000293	PECH_000293
PECH_000294	PECH_000294
PECH_000295	PECH_000295
PECH_000296	PECH_000296
PECH_000297	PECH_000297
PECH_000298	PECH_000298
PECH_000299	PECH_000299
PECH_000300	PECH_000300
PECH_000301	PECH_000301
PECH_000302	PECH_000302
PECH_000303	PECH_000303
PECH_000304	PECH_000304
PECH_000305	PECH_000305
PECH_000306	PECH_000306
PECH_000307	PECH_000307
PECH_000310	PECH_000310
PECH_000312	PECH_000312
PECH_000313	PECH_000313
PECH_000314	PECH_000314
PECH_000315	PECH_000315
PECH_000316	PECH_000316
PECH_000317	PECH_000317
PECH_000318	PECH_000318
PECH_000319	PECH_000319
PECH_000320	PECH_000320
PECH_000321	PECH_000321
PECH_000322	PECH_000322
PECH_000323	PECH_000323
PECH_000324	PECH_000324
PECH_000325	PECH_000325
PECH_000326	PECH_000326
PECH_000327	PECH_000327
PECH_000328	PECH_000328
PECH_000329	PECH_000329
PECH_000330	PECH_000330
PECH_000331	PECH_000331
PECH_000332	PECH_000332
PECH_000333	PECH_000333
PECH_000334	PECH_000334
PECH_000335	PECH_000335
PECH_000336	PECH_000336
PECH_000337	PECH_000337
PECH_000338	PECH_000338
PECH_000339	PECH_000339
PECH_000340	PECH_000340
PECH_000341	PECH_000341
PECH_000342	PECH_000342
PECH_000343	PECH_000343
PECH_000346	PECH_000346
PECH_000347	PECH_000347
PECH_000348	PECH_000348
PECH_000349	PECH_000349
PECH_000350	PECH_000350
PECH_000352	PECH_000352
PECH_000353	PECH_000353
PECH_000354	PECH_000354
PECH_000355	PECH_000355
PECH_000356	PECH_000356
PECH_000357	PECH_000357
PECH_000358	PECH_000358
PECH_000359	PECH_000359
PECH_000360	PECH_000360
PECH_000361	PECH_000361
PECH_000362	PECH_000362
PECH_000363	PECH_000363
PECH_000364	PECH_000364
PECH_000365	PECH_000365
PECH_000366	PECH_000366
PECH_000367	PECH_000367
PECH_000368	PECH_000368
PECH_000369	PECH_000369
PECH_000370	PECH_000370
PECH_000371	PECH_000371
PECH_000372	PECH_000372
PECH_000373	PECH_000373
PECH_000374	PECH_000374
PECH_000375	PECH_000375
PECH_000376	PECH_000376
PECH_000377	PECH_000377
PECH_000378	PECH_000378
PECH_000379	PECH_000379
PECH_000381	PECH_000381
PECH_000382	PECH_000382
PECH_000383	PECH_000383
PECH_000384	PECH_000384
PECH_000385	PECH_000385
PECH_000386	PECH_000386
PECH_000387	PECH_000387
PECH_000389	PECH_000389
PECH_000390	PECH_000390
PECH_000391	PECH_000391
PECH_000393	PECH_000393
PECH_000394	PECH_000394
PECH_000395	PECH_000395
PECH_000396	PECH_000396
PECH_000397	PECH_000397
PECH_000398	PECH_000398
PECH_000399	PECH_000399
PECH_000400	PECH_000400
PECH_000401	PECH_000401
PECH_000402	PECH_000402
PECH_000404	PECH_000404
PECH_000405	PECH_000405
PECH_000406	PECH_000406
PECH_000407	PECH_000407
PECH_000408	PECH_000408
PECH_000409	PECH_000409
PECH_000410	PECH_000410
PECH_000411	PECH_000411
PECH_000412	PECH_000412
PECH_000413	PECH_000413
PECH_000414	PECH_000414
PECH_000415	PECH_000415
PECH_000416	PECH_000416
PECH_000418	PECH_000418
PECH_000419	PECH_000419
PECH_000420	PECH_000420
PECH_000421	PECH_000421
PECH_000422	PECH_000422
PECH_000423	PECH_000423
PECH_000424	PECH_000424
PECH_000425	PECH_000425
PECH_000426	PECH_000426
PECH_000427	PECH_000427
PECH_000428	PECH_000428
PECH_000429	PECH_000429
PECH_000430	PECH_000430
PECH_000431	PECH_000431
PECH_000432	PECH_000432
PECH_000433	PECH_000433
PECH_000434	PECH_000434
PECH_000435	PECH_000435
PECH_000436	PECH_000436
PECH_000437	PECH_000437
PECH_000438	PECH_000438
PECH_000439	PECH_000439
PECH_000440	PECH_000440
PECH_000441	PECH_000441
PECH_000443	PECH_000443
PECH_000444	PECH_000444
PECH_000445	PECH_000445
PECH_000446	PECH_000446
PECH_000447	PECH_000447
PECH_000448	PECH_000448
PECH_000449	PECH_000449
PECH_000450	PECH_000450
PECH_000452	PECH_000452
PECH_000453	PECH_000453
PECH_000454	PECH_000454
PECH_000455	PECH_000455
PECH_000456	PECH_000456
PECH_000457	PECH_000457
PECH_000458	PECH_000458
PECH_000459	PECH_000459
PECH_000460	PECH_000460
PECH_000462	PECH_000462
PECH_000463	PECH_000463
PECH_000464	PECH_000464
PECH_000465	PECH_000465
PECH_000466	PECH_000466
PECH_000467	PECH_000467
PECH_000469	PECH_000469
PECH_000470	PECH_000470
PECH_000471	PECH_000471
PECH_000472	PECH_000472
PECH_000473	PECH_000473
PECH_000474	PECH_000474
PECH_000475	PECH_000475
PECH_000476	PECH_000476
PECH_000477	PECH_000477
PECH_000478	PECH_000478
PECH_000479	PECH_000479
PECH_000480	PECH_000480
PECH_000481	PECH_000481
PECH_000482	PECH_000482
PECH_000483	PECH_000483
PECH_000484	PECH_000484
PECH_000485	PECH_000485
PECH_000486	PECH_000486
PECH_000487	PECH_000487
PECH_000488	PECH_000488
PECH_000489	PECH_000489
PECH_000490	PECH_000490
PECH_000492	PECH_000492
PECH_000493	PECH_000493
PECH_000494	PECH_000494
PECH_000495	PECH_000495
PECH_000496	PECH_000496
PECH_000497	PECH_000497
PECH_000498	PECH_000498
PECH_000499	PECH_000499
PECH_000500	PECH_000500
PECH_000501	PECH_000501
PECH_000502	PECH_000502
PECH_000503	PECH_000503
PECH_000504	PECH_000504
PECH_000505	PECH_000505
PECH_000507	PECH_000507
PECH_000508	PECH_000508
PECH_000509	PECH_000509
PECH_000510	PECH_000510
PECH_000511	PECH_000511
PECH_000513	PECH_000513
PECH_000514	PECH_000514
PECH_000515	PECH_000515
PECH_000516	PECH_000516
PECH_000517	PECH_000517
PECH_000518	PECH_000518
PECH_000519	PECH_000519
PECH_000520	PECH_000520
PECH_000522	PECH_000522
PECH_000523	PECH_000523
PECH_000524	PECH_000524
PECH_000525	PECH_000525
PECH_000527	PECH_000527
PECH_000528	PECH_000528
PECH_000530	PECH_000530
PECH_000531	PECH_000531
PECH_000532	PECH_000532
PECH_000533	PECH_000533
PECH_000534	PECH_000534
PECH_000535	PECH_000535
PECH_000536	PECH_000536
PECH_000537	PECH_000537
PECH_000538	PECH_000538
PECH_000539	PECH_000539
PECH_000540	PECH_000540
PECH_000541	PECH_000541
PECH_000543	PECH_000543
PECH_000544	PECH_000544
PECH_000545	PECH_000545
PECH_000546	PECH_000546
PECH_000547	PECH_000547
PECH_000548	PECH_000548
PECH_000549	PECH_000549
PECH_000550	PECH_000550
PECH_000551	PECH_000551
PECH_000552	PECH_000552
PECH_000553	PECH_000553
PECH_000554	PECH_000554
PECH_000555	PECH_000555
PECH_000556	PECH_000556
PECH_000557	PECH_000557
PECH_000558	PECH_000558
PECH_000559	PECH_000559
PECH_000560	PECH_000560
PECH_000561	PECH_000561
PECH_000562	PECH_000562
PECH_000563	PECH_000563
PECH_000564	PECH_000564
PECH_000567	PECH_000567
PECH_000568	PECH_000568
PECH_000569	PECH_000569
PECH_000570	PECH_000570
PECH_000571	PECH_000571
PECH_000572	PECH_000572
PECH_000573	PECH_000573
PECH_000574	PECH_000574
PECH_000575	PECH_000575
PECH_000576	PECH_000576
PECH_000577	PECH_000577
PECH_000578	PECH_000578
PECH_000579	PECH_000579
PECH_000580	PECH_000580
PECH_000582	PECH_000582
PECH_000583	PECH_000583
PECH_000584	PECH_000584
PECH_000585	PECH_000585
PECH_000587	PECH_000587
PECH_000588	PECH_000588
PECH_000589	PECH_000589
PECH_000590	PECH_000590
PECH_000592	PECH_000592
PECH_000593	PECH_000593
PECH_000594	PECH_000594
PECH_000595	PECH_000595
PECH_000596	PECH_000596
PECH_000597	PECH_000597
PECH_000598	PECH_000598
PECH_000599	PECH_000599
PECH_000600	PECH_000600
PECH_000601	PECH_000601
PECH_000602	PECH_000602
PECH_000603	PECH_000603
PECH_000604	PECH_000604
PECH_000605	PECH_000605
PECH_000606	PECH_000606
PECH_000607	PECH_000607
PECH_000608	PECH_000608
PECH_000609	PECH_000609
PECH_000610	PECH_000610
PECH_000611	PECH_000611
PECH_000612	PECH_000612
PECH_000613	PECH_000613
PECH_000614	PECH_000614
PECH_000615	PECH_000615
PECH_000616	PECH_000616
PECH_000617	PECH_000617
PECH_000619	PECH_000619
PECH_000620	PECH_000620
PECH_000621	PECH_000621
PECH_000622	PECH_000622
PECH_000623	PECH_000623
PECH_000625	PECH_000625
PECH_000626	PECH_000626
PECH_000627	PECH_000627
PECH_000628	PECH_000628
PECH_000629	PECH_000629
PECH_000630	PECH_000630
PECH_000631	PECH_000631
PECH_000632	PECH_000632
PECH_000633	PECH_000633
PECH_000634	PECH_000634
PECH_000638	PECH_000638
PECH_000639	PECH_000639
PECH_000640	PECH_000640
PECH_000642	PECH_000642
PECH_000643	PECH_000643
PECH_000644	PECH_000644
PECH_000645	PECH_000645
PECH_000646	PECH_000646
PECH_000649	PECH_000649
PECH_000651	PECH_000651
PECH_000652	PECH_000652
PECH_000653	PECH_000653
PECH_000654	PECH_000654
PECH_000655	PECH_000655
PECH_000656	PECH_000656
PECH_000657	PECH_000657
PECH_000658	PECH_000658
PECH_000659	PECH_000659
PECH_000660	PECH_000660
PECH_000661	PECH_000661
PECH_000662	PECH_000662
PECH_000663	PECH_000663
PECH_000664	PECH_000664
PECH_000665	PECH_000665
PECH_000666	PECH_000666
PECH_000667	PECH_000667
PECH_000668	PECH_000668
PECH_000669	PECH_000669
PECH_000670	PECH_000670
PECH_000671	PECH_000671
PECH_000672	PECH_000672
PECH_000673	PECH_000673
PECH_000674	PECH_000674
PECH_000675	PECH_000675
PECH_000676	PECH_000676
PECH_000677	PECH_000677
PECH_000678	PECH_000678
PECH_000679	PECH_000679
PECH_000680	PECH_000680
PECH_000681	PECH_000681
PECH_000682	PECH_000682
PECH_000683	PECH_000683
PECH_000684	PECH_000684
PECH_000685	PECH_000685
PECH_000686	PECH_000686
PECH_000687	PECH_000687
PECH_000688	PECH_000688
PECH_000689	PECH_000689
PECH_000690	PECH_000690
PECH_000691	PECH_000691
PECH_000692	PECH_000692
PECH_000693	PECH_000693
PECH_000694	PECH_000694
PECH_000695	PECH_000695
PECH_000696	PECH_000696
PECH_000697	PECH_000697
PECH_000698	PECH_000698
PECH_000699	PECH_000699
PECH_000701	PECH_000701
PECH_000702	PECH_000702
PECH_000703	PECH_000703
PECH_000704	PECH_000704
PECH_000705	PECH_000705
PECH_000706	PECH_000706
PECH_000707	PECH_000707
PECH_000708	PECH_000708
PECH_000709	PECH_000709
PECH_000710	PECH_000710
PECH_000711	PECH_000711
PECH_000712	PECH_000712
PECH_000713	PECH_000713
PECH_000714	PECH_000714
PECH_000715	PECH_000715
PECH_000716	PECH_000716
PECH_000717	PECH_000717
PECH_000718	PECH_000718
PECH_000719	PECH_000719
PECH_000720	PECH_000720
PECH_000721	PECH_000721
PECH_000722	PECH_000722
PECH_000723	PECH_000723
PECH_000724	PECH_000724
PECH_000725	PECH_000725
PECH_000726	PECH_000726
PECH_000727	PECH_000727
PECH_000728	PECH_000728
PECH_000729	PECH_000729
PECH_000730	PECH_000730
PECH_000731	PECH_000731
PECH_000732	PECH_000732
PECH_000733	PECH_000733
PECH_000734	PECH_000734
PECH_000735	PECH_000735
PECH_000736	PECH_000736
PECH_000738	PECH_000738
PECH_000739	PECH_000739
PECH_000740	PECH_000740
PECH_000741	PECH_000741
PECH_000742	PECH_000742
PECH_000743	PECH_000743
PECH_000744	PECH_000744
PECH_000745	PECH_000745
PECH_000746	PECH_000746
PECH_000747	PECH_000747
PECH_000748	PECH_000748
PECH_000749	PECH_000749
PECH_000750	PECH_000750
PECH_000753	PECH_000753
PECH_000754	PECH_000754
PECH_000755	PECH_000755
PECH_000756	PECH_000756
PECH_000757	PECH_000757
PECH_000758	PECH_000758
PECH_000759	PECH_000759
PECH_000760	PECH_000760
PECH_000761	PECH_000761
PECH_000762	PECH_000762
PECH_000763	PECH_000763
PECH_000764	PECH_000764
PECH_000765	PECH_000765
PECH_000766	PECH_000766
PECH_000767	PECH_000767
PECH_000768	PECH_000768
PECH_000769	PECH_000769
PECH_000770	PECH_000770
PECH_000771	PECH_000771
PECH_000772	PECH_000772
PECH_000773	PECH_000773
PECH_000774	PECH_000774
PECH_000775	PECH_000775
PECH_000776	PECH_000776
PECH_000777	PECH_000777
PECH_000778	PECH_000778
PECH_000779	PECH_000779
PECH_000780	PECH_000780
PECH_000782	PECH_000782
PECH_000785	PECH_000785
PECH_000786	PECH_000786
PECH_000787	PECH_000787
PECH_000788	PECH_000788
PECH_000790	PECH_000790
PECH_000795	PECH_000795
PECH_000796	PECH_000796
PECH_000799	PECH_000799
PECH_000800	PECH_000800
PECH_000801	PECH_000801
PECH_000802	PECH_000802
PECH_000803	PECH_000803
PECH_000804	PECH_000804
PECH_000805	PECH_000805
PECH_000806	PECH_000806
PECH_000807	PECH_000807
PECH_000808	PECH_000808
PECH_000809	PECH_000809
PECH_000810	PECH_000810
PECH_000811	PECH_000811
