#tf_id	tg_id	regulatory_function
AN0098	AN0399	+
AN0098	AN1006	+
AN0098	AN1007	+
AN0098	AN1008	+
AN0098	AN7169	-
AN0098	AN8647	+
AN0176	AN0241	-
AN0176	AN0607	-
AN0176	AN5525	-
AN0176	AN5577	-
AN0176	AN5823	-
AN0176	AN6246	-
AN0176	AN6521	-
AN0176	AN7485	-
AN0176	AN7800	-
AN0176	AN7801	-
AN0176	AN8251	-
AN0176	AN8540	-
AN0176	AN8751	-
AN0176	AN8881	-
AN0176	AN9339	-
AN0202	AN1810	+
AN0202	AN2901	+
AN0273	AN0170	-
AN0273	AN0807	+
AN0273	AN0932	-
AN0273	AN2846	-
AN0273	AN2911	-
AN0273	AN3581	-
AN0273	AN4034	-
AN0273	AN7513	-
AN0273	AN8692	-
AN0273	AN9339	-
AN0279	AN0973	+
AN0279	AN4394	+
AN0279	AN7542	+
AN0279	AN7895	-
AN0279	AN7898	-
AN0388	AN0423	-
AN0388	AN0942	+
AN0388	AN10169	+
AN0388	AN10550	-
AN0388	AN2666	+
AN0388	AN4336	-
AN0388	AN4957	+
AN0388	AN7193	+
AN0388	AN7914	+
AN0388	AN8790	+
AN0388	AN9064	+
AN0388	AN9148	-
AN0422	AN0363	+
AN0422	AN0422	+
AN0422	AN0453	+
AN0422	AN0554	-
AN0422	AN0973	-
AN0422	AN1555	+
AN0422	AN1937	+
AN0422	AN1959	+
AN0422	AN4566	+
AN0422	AN6635	+
AN0422	AN7032	+
AN0422	AN8006	+
AN0422	AN8803	+
AN0422	AN8979	-
AN0689	AN1050	+
AN0689	AN1059	+
AN0689	AN10834	+
AN0689	AN1918	+
AN0689	AN1921	+
AN0689	AN3741	-
AN0689	AN5226	+
AN0689	AN5356	+
AN0689	AN5626	+
AN0689	AN5634	-
AN0689	AN6279	-
AN0689	AN6525	-
AN0689	AN6653	-
AN0689	AN7111	-
AN0689	AN8777	+
AN0689	AN8979	+
AN0766	AN2855	-
AN0891	AN0070	+
AN0891	AN10081	+
AN0891	AN10767	+
AN0891	AN1637	+
AN0891	AN2910	+
AN0891	AN5613	+
AN0891	AN6078	+
AN0891	AN6730	+
AN0891	AN6932	+
AN0891	AN8534	+
AN0891	AN9470	+
AN0973	AN0363	+
AN0973	AN0422	+
AN0973	AN0453	+
AN0973	AN0472	+
AN0973	AN0554	-
AN0973	AN0973	+
AN0973	AN1937	+
AN0973	AN1959	+
AN0973	AN2228	+
AN0973	AN2290	-
AN0973	AN3648	+
AN0973	AN4182	+
AN0973	AN4394	-
AN0973	AN4566	+
AN0973	AN4871	+
