#tf_id	tg_id	regulatory_function
NCU00090	NCU00007	-
NCU00090	NCU00090	NaN
NCU00090	NCU00317	+
NCU00090	NCU00776	-
NCU00090	NCU01996	+
NCU00090	NCU02075	+
NCU00090	NCU03021	NaN
NCU00090	NCU03316	NaN
NCU00090	NCU05876	+
NCU00090	NCU06687	-
NCU00090	NCU08332	-
NCU00090	NCU09345	+
NCU00090	NCU09602	+
NCU00116	NCU01195	NaN
NCU00340	NCU00040	+
NCU00340	NCU00105	+
NCU00340	NCU00138	-
NCU00340	NCU00144	-
NCU00340	NCU00153	+
NCU00340	NCU00162	+
NCU00340	NCU00170	+
NCU00340	NCU00175	-
NCU00340	NCU00177	+
NCU00340	NCU00194	+
NCU00340	NCU00209	-
NCU00340	NCU00211	+
NCU00340	NCU00225	+
NCU00340	NCU00258	+
NCU00340	NCU00265	+
NCU00340	NCU00294	+
NCU00340	NCU00303	+
NCU00340	NCU00309	-
NCU00340	NCU00315	+
NCU00340	NCU00354	+
NCU00340	NCU00373	-
NCU00340	NCU00389	+
NCU00340	NCU00413	+
NCU00340	NCU00414	+
NCU00340	NCU00422	+
NCU00340	NCU00431	+
NCU00340	NCU00440	-
NCU00340	NCU00457	+
NCU00340	NCU00464	+
NCU00340	NCU00475	+
NCU00340	NCU00489	+
NCU00340	NCU00515	+
NCU00340	NCU00520	-
NCU00340	NCU00521	+
NCU00340	NCU00552	-
NCU00340	NCU00556	+
NCU00340	NCU00566	-
NCU00340	NCU00575	+
NCU00340	NCU00601	+
NCU00340	NCU00618	+
NCU00340	NCU00627	+
NCU00340	NCU00633	-
NCU00340	NCU00634	+
NCU00340	NCU00669	+
NCU00340	NCU00680	+
NCU00340	NCU00692	+
NCU00340	NCU00696	+
NCU00340	NCU00720	+
NCU00340	NCU00743	-
NCU00340	NCU00746	+
NCU00340	NCU00768	+
NCU00340	NCU00775	+
NCU00340	NCU00811	+
NCU00340	NCU00812	+
NCU00340	NCU00836	+
NCU00340	NCU00867	-
NCU00340	NCU00878	-
NCU00340	NCU00881	+
NCU00340	NCU00894	+
NCU00340	NCU00906	-
NCU00340	NCU00911	+
NCU00340	NCU00925	+
NCU00340	NCU00938	+
NCU00340	NCU00958	+
NCU00340	NCU00971	+
NCU00340	NCU00973	-
NCU00340	NCU00977	+
NCU00340	NCU00979	+
NCU00340	NCU00995	+
NCU00340	NCU01021	+
NCU00340	NCU01065	-
NCU00340	NCU01083	+
NCU00340	NCU01098	+
NCU00340	NCU01121	-
NCU00340	NCU01124	-
NCU00340	NCU01145	+
NCU00340	NCU01158	+
NCU00340	NCU01183	-
NCU00340	NCU01189	+
NCU00340	NCU01191	+
NCU00340	NCU01195	+
NCU00340	NCU01221	+
NCU00340	NCU01227	+
NCU00340	NCU01249	+
NCU00340	NCU01257	+
NCU00340	NCU01290	+
NCU00340	NCU01297	-
NCU00340	NCU01300	+
NCU00340	NCU01317	+
NCU00340	NCU01328	+
NCU00340	NCU01331	+
NCU00340	NCU01380	+
NCU00340	NCU01382	+
NCU00340	NCU01414	+
NCU00340	NCU01452	+
NCU00340	NCU01459	+
NCU00340	NCU01504	+
NCU00340	NCU01509	+
NCU00340	NCU01524	+
NCU00340	NCU01545	-
NCU00340	NCU01546	-
NCU00340	NCU01552	+
NCU00340	NCU01618	+
NCU00340	NCU01633	+
NCU00340	NCU01648	+
NCU00340	NCU01675	+
NCU00340	NCU01697	+
NCU00340	NCU01724	+
NCU00340	NCU01752	+
NCU00340	NCU01754	-
NCU00340	NCU01772	-
NCU00340	NCU01776	+
NCU00340	NCU01786	+
NCU00340	NCU01793	+
NCU00340	NCU01824	-
NCU00340	NCU01826	-
NCU00340	NCU01855	+
NCU00340	NCU01894	+
NCU00340	NCU01949	+
NCU00340	NCU01966	+
NCU00340	NCU02003	+
NCU00340	NCU02004	+
NCU00340	NCU02046	+
NCU00340	NCU02059	+
NCU00340	NCU02075	+
NCU00340	NCU02109	+
NCU00340	NCU02110	+
NCU00340	NCU02139	+
NCU00340	NCU02176	+
NCU00340	NCU02181	+
NCU00340	NCU02193	-
NCU00340	NCU02208	+
NCU00340	NCU02209	+
NCU00340	NCU02246	+
NCU00340	NCU02259	+
NCU00340	NCU02298	+
NCU00340	NCU02344	+
NCU00340	NCU02361	-
NCU00340	NCU02366	+
NCU00340	NCU02369	+
NCU00340	NCU02428	+
NCU00340	NCU02458	+
NCU00340	NCU02465	+
NCU00340	NCU02470	+
NCU00340	NCU02480	-
NCU00340	NCU02488	+
NCU00340	NCU02500	-
NCU00340	NCU02509	+
NCU00340	NCU02511	+
NCU00340	NCU02532	+
NCU00340	NCU02533	+
NCU00340	NCU02613	+
NCU00340	NCU02623	-
NCU00340	NCU02624	-
NCU00340	NCU02627	-
NCU00340	NCU02635	-
NCU00340	NCU02644	-
NCU00340	NCU02707	+
NCU00340	NCU02727	-
NCU00340	NCU02729	-
NCU00340	NCU02736	+
NCU00340	NCU02744	+
NCU00340	NCU02745	+
NCU00340	NCU02754	+
NCU00340	NCU02767	+
NCU00340	NCU02786	+
NCU00340	NCU02794	+
NCU00340	NCU02801	-
NCU00340	NCU02807	-
NCU00340	NCU02808	+
NCU00340	NCU02811	+
NCU00340	NCU02813	+
NCU00340	NCU02880	-
NCU00340	NCU02895	-
NCU00340	NCU02905	+
NCU00340	NCU02910	+
NCU00340	NCU02919	+
NCU00340	NCU02923	+
NCU00340	NCU02930	+
NCU00340	NCU02950	+
NCU00340	NCU02954	+
NCU00340	NCU02955	+
NCU00340	NCU02960	+
NCU00340	NCU02970	+
NCU00340	NCU02972	+
NCU00340	NCU02988	+
NCU00340	NCU03004	+
NCU00340	NCU03006	-
NCU00340	NCU03009	+
NCU00340	NCU03013	+
NCU00340	NCU03023	-
NCU00340	NCU03033	+
NCU00340	NCU03035	+
NCU00340	NCU03038	+
NCU00340	NCU03061	+
NCU00340	NCU03066	+
NCU00340	NCU03076	-
NCU00340	NCU03092	+
NCU00340	NCU03102	+
NCU00340	NCU03117	+
NCU00340	NCU03125	+
NCU00340	NCU03132	+
NCU00340	NCU03150	+
NCU00340	NCU03151	-
NCU00340	NCU03152	-
NCU00340	NCU03153	-
NCU00340	NCU03166	-
NCU00340	NCU03171	-
NCU00340	NCU03192	-
NCU00340	NCU03196	+
NCU00340	NCU03222	-
NCU00340	NCU03241	+
NCU00340	NCU03247	+
NCU00340	NCU03276	+
NCU00340	NCU03282	-
NCU00340	NCU03294	+
