#tf_id	tg_id	regulatory_function
YAL051W	YNL141W	NaN
YAL051W	YMR072W	NaN
YAL051W	YJL200C	NaN
YAL051W	YMR184W	NaN
YAL051W	YKL206C	NaN
YAL051W	YAR015W	NaN
YAL051W	YMR303C	NaN
YAL051W	YMR009W	NaN
YAL051W	YCR010C	NaN
YAL051W	YPL005W	NaN
YAL051W	YIL044C	NaN
YAL051W	YCL025C	NaN
YAL051W	YHL021C	NaN
YAL051W	YAL049C	NaN
YAL051W	YMR003W	NaN
YAL051W	YMR169C	NaN
YAL051W	YNL270C	NaN
YAL051W	YDR111C	NaN
YAL051W	YPR128C	NaN
YAL051W	YHR113W	NaN
YAL051W	YBR288C	NaN
YAL051W	YNL065W	NaN
YAL051W	YLL052C	NaN
YAL051W	YIL062C	NaN
YAL051W	YNR035C	NaN
YAL051W	YHR013C	NaN
YAL051W	YMR062C	NaN
YAL051W	YMR042W	NaN
YAL051W	YPL051W	NaN
YAL051W	YGL148W	NaN
YAL051W	YDR035W	NaN
YAL051W	YDL029W	NaN
YAL051W	YKL052C	NaN
YAL051W	YOL082W	NaN
YAL051W	YOL083W	NaN
YAL051W	YDR384C	NaN
YAL051W	YNL315C	NaN
YAL051W	YJL180C	NaN
YAL051W	YKL016C	NaN
YAL051W	YIL124W	NaN
YAL051W	YJR148W	NaN
YAL051W	YDL070W	NaN
YAL051W	YBR200W	NaN
YAL051W	YLR412W	NaN
YAL051W	YDR099W	NaN
YAL051W	YDL037C	NaN
YAL051W	YOR026W	NaN
YAL051W	YNR027W	NaN
YAL051W	YGR277C	NaN
YAL051W	YKL007W	NaN
YAL051W	YJR060W	NaN
YAL051W	YPL215W	NaN
YAL051W	YMR038C	NaN
YAL051W	YHR107C	NaN
YAL051W	YDL220C	NaN
YAL051W	YOR074C	NaN
YAL051W	YOL139C	NaN
YAL051W	YDL132W	NaN
YAL051W	YNR001C	NaN
YAL051W	YCR005C	NaN
YAL051W	YPR001W	NaN
YAL051W	YBR135W	NaN
YAL051W	YGR108W	NaN
YAL051W	YGR167W	NaN
YAL051W	YMR199W	NaN
YAL051W	YKL137W	NaN
YAL051W	YOL016C	NaN
YAL051W	YDL145C	NaN
YAL051W	YOR100C	NaN
YAL051W	YHR146W	NaN
YAL051W	YOR031W	NaN
YAL051W	YDR256C	NaN
YAL051W	YML112W	NaN
YAL051W	YMR180C	NaN
YAL051W	YGR088W	NaN
YAL051W	YHR053C	NaN
YAL051W	YHR055C	NaN
YAL051W	YGL166W	NaN
YAL051W	YPL177C	NaN
YAL051W	YNL155W	NaN
YAL051W	YGR278W	NaN
YAL051W	YKL096W-A	NaN
YAL051W	YKL087C	NaN
YAL051W	YJR150C	NaN
YAL051W	YKL149C	NaN
YAL051W	YOR180C	NaN
YAL051W	YOL149W	NaN
YAL051W	YMR316W	NaN
YAL051W	YDL024C	NaN
YAL051W	YPL049C	NaN
YAL051W	YPL265W	NaN
YAL051W	YDL178W	NaN
YAL051W	YIL010W	NaN
YAL051W	YMR130W	NaN
YAL051W	YLL008W	NaN
YAL051W	YMR171C	NaN
YAL051W	YLR284C	NaN
YAL051W	YPL095C	NaN
YAL051W	YJL196C	NaN
YAL051W	YGL231C	NaN
YAL051W	YJL167W	NaN
YAL051W	YFR041C	NaN
YAL051W	YML130C	NaN
YAL051W	YMR323W	NaN
YAL051W	YOR244W	NaN
YAL051W	YBR026C	NaN
YAL051W	YOR317W	NaN
YAL051W	YER015W	NaN
YAL051W	YDR339C	NaN
YAL051W	YPL276W	NaN
YAL051W	YGR052W	NaN
YAL051W	YMR113W	NaN
YAL051W	YKR009C	NaN
YAL051W	YLR449W	NaN
YAL051W	YMR178W	NaN
YAL051W	YKL220C	NaN
YAL051W	YLR047C	NaN
YAL051W	YHR049W	NaN
