Species,Families,Quantity
P_echinulatum_2HH,Zn2Cys6,230
P_echinulatum_2HH,C2H2_ZF,73
P_echinulatum_2HH,RRM,68
P_echinulatum_2HH,bZIP,20
P_echinulatum_2HH,Myb,19
P_echinulatum_2HH,CCCH_ZF,16
P_echinulatum_2HH,bHLH,10
P_echinulatum_2HH,Sox,6
P_echinulatum_2HH,GATA,6
P_echinulatum_2HH,Homeodomain,6
P_echinulatum_2HH,Forkhead,4
P_echinulatum_2HH,APSES,4
P_echinulatum_2HH,HSF,3
P_echinulatum_2HH,AT_hook,3
P_echinulatum_2HH,Copper_fist,3
P_echinulatum_2HH,Ndt80/PhoG,2
P_echinulatum_2HH,ARID/BRIGHT,2
P_echinulatum_2HH,RFX,2
P_echinulatum_2HH,MADS_box,2
P_echinulatum_2HH,NFX,2
P_echinulatum_2HH,Pipsqueak,1
P_echinulatum_2HH,BED_ZF,1
P_echinulatum_2HH,HAP2,1
P_echinulatum_2HH,STE,1
P_echinulatum_2HH,TBP,1
P_echinulatum_2HH,TEA,1
P_echinulatum_2HH,Grainyhead,1
P_echinulatum_2HH,CENPB,1
P_echinulatum_2HH,FAR1,1
P_echinulatum_2HH,MATalpha_HMGbox,1
P_echinulatum_2HH,Ets,0
P_echinulatum_2HH,CSD,0
P_echinulatum_2HH,GCR1,0
P_echinulatum_2HH,AFT,0
P_echinulatum_2HH,VHR1,0
P_echinulatum_2HH,ABF1,0
P_echinulatum_2HH,Rap1,0
P_oxalicum_114-2,Zn2Cys6,206
P_oxalicum_114-2,C2H2_ZF,80
P_oxalicum_114-2,RRM,68
P_oxalicum_114-2,bZIP,21
P_oxalicum_114-2,Myb,18
P_oxalicum_114-2,CCCH_ZF,17
P_oxalicum_114-2,bHLH,11
P_oxalicum_114-2,Sox,7
P_oxalicum_114-2,GATA,6
P_oxalicum_114-2,Homeodomain,6
P_oxalicum_114-2,Forkhead,4
P_oxalicum_114-2,APSES,4
P_oxalicum_114-2,HSF,3
P_oxalicum_114-2,AT_hook,3
P_oxalicum_114-2,Copper_fist,3
P_oxalicum_114-2,Ndt80/PhoG,2
