organism	tf_locus_tag	tf_name	tf_ortho_names	tg_locus_tag	tg_name	tg_ortho_names	interaction	ortho_pox	ortho_ani	ortho_ncr	ortho_sce	tfbs_count
Poxalicum	PDE_00198	PDE_00198	facB	PDE_00666	PDE_00666	facC	+	0	1	0	0	0
Poxalicum	PDE_00198	PDE_00198	facB	PDE_00706	PDE_00706		+	0	1	0	0	0
Poxalicum	PDE_00198	PDE_00198	facB	PDE_00833	PDE_00833	alcB	-	0	1	0	0	0
Poxalicum	PDE_00198	PDE_00198	facB	PDE_01080	PDE_01080	aciA	-	0	1	0	0	0
Poxalicum	PDE_00198	PDE_00198	acu-15	PDE_02101	PDE_02101	gh11-2	-	0	0	1	0	2
Poxalicum	PDE_00198	PDE_00198	acu-15	PDE_02418	PDE_02418	gh10-1	-	0	0	1	0	0
Poxalicum	PDE_00198	PDE_00198	facB	PDE_03246	PDE_03246	acuJ	-	0	1	0	0	0
Poxalicum	PDE_00198	PDE_00198	facB,acu-15	PDE_03483	PDE_03483	acuE,acu-9	-	0	1	1	0	0
Poxalicum	PDE_00198	PDE_00198	facB	PDE_05002	PDE_05002	amdS	+	0	1	0	0	0
Poxalicum	PDE_00198	PDE_00198	facB	PDE_05212	PDE_05212	acpA	+	0	1	0	0	0
Poxalicum	PDE_00198	PDE_00198	facB	PDE_05675	PDE_05675	foxA	-	0	1	0	0	0
Poxalicum	PDE_00198	PDE_00198	acu-15	PDE_06306	PDE_06306		-	0	0	1	0	1
Poxalicum	PDE_00198	PDE_00198	acu-15	PDE_06546	PDE_06546		-	0	0	1	0	0
Poxalicum	PDE_00198	PDE_00198	acu-15	PDE_08036	PDE_08036		-	0	0	1	0	0
Poxalicum	PDE_00198	PDE_00198	facB	PDE_08074	PDE_08074	acuH	+	0	1	0	0	0
Poxalicum	PDE_00198	PDE_00198	facB,acu-15	PDE_08297	PDE_08297	acuD,acu-3	-	0	1	1	0	0
Poxalicum	PDE_00198	PDE_00198	facB,acu-15	PDE_08414	PDE_08414	facA,acu-5	+	0	1	1	0	0
Poxalicum	PDE_00198	PDE_00198	facB	PDE_08874	PDE_08874	pexK	+	0	1	0	0	0
Poxalicum	PDE_00198	PDE_00198	facB	PDE_08878	PDE_08878	acuF	+	0	1	0	0	0
Poxalicum	PDE_00198	PDE_00198	facB	PDE_09299	PDE_09299	alcA	+	0	1	0	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00005	PDE_00005		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00026	PDE_00026	gst-4	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00027	PDE_00027		-	0	0	1	0	1
