# Species	Genes	Alg.-Conn.	Poxalicum_114-2.fasta	Scerevisiae_S288C.fasta
2	5	0.193	PDE_02379	YAL005C,YBL075C,YER103W,YLL024C
2	5	0.196	PDE_04151	YGR287C,YIL172C,YJL221C,YOL157C
2	5	0.199	PDE_09900	YDL244W,YFL058W,YJR156C,YNL332W
2	5	0.192	PDE_04150	YBR298C,YDL247W,YGR289C,YJR160C
2	4	0.249	PDE_03497	YDR038C,YDR039C,YDR040C
2	4	0.248	PDE_05826	YDL246C,YJR159W,YLR070C
2	4	0.237	PDE_00002,PDE_02186,PDE_07679	YBR296C
2	4	0.244	PDE_04133	YDR139C,YIL148W,YKR094C
2	4	0.245	PDE_03689	YDR155C,YDR304C,YHR057C
2	4	0.145	PDE_04186,PDE_01701	YCL026C-A,YCL026C-B
2	4	0.244	PDE_09299	YMR083W,YMR303C,YOL086C
2	4	0.245	PDE_03791	YDR541C,YGL157W,YOL151W
2	4	0.144	PDE_09143,PDE_00321	YEL063C,YNL268W
2	5	0.162	PDE_03747,PDE_09987	YER056C,YER060W,YER060W-A
2	4	0.244	PDE_02681,PDE_03927,PDE_05137	YOR049C
2	4	0.145	PDE_05682,PDE_02395	YER185W,YGR213C
2	4	0.248	PDE_09593	YFL059W,YMR096W,YNL333W
2	4	0.237	PDE_04204	YFL060C,YMR095C,YNL334C
2	4	0.249	PDE_02771,PDE_04890,PDE_08685	YGL026C
2	4	0.249	PDE_04873	YGR087C,YLR044C,YLR134W
2	4	0.246	PDE_09952	YGR192C,YJL052W,YJR009C
2	4	0.145	PDE_01808,PDE_07564	YLR043C,YGR209C
2	4	0.245	PDE_01067,PDE_01095,PDE_03367	YGR224W
2	4	0.235	PDE_09471	YAL007C,YDL018C,YOR016C
2	4	0.242	PDE_08320	YAL053W,YGL139W,YPL221W
2	4	0.245	PDE_05317	YHR216W,YLR432W,YML056C
2	4	0.247	PDE_01021	YIL015W,YLR120C,YLR121C
2	4	0.248	PDE_09218	YIL123W,YKR042W,YNL066W
2	4	0.238	PDE_03213	YJL164C,YKL166C,YPL203W
2	4	0.241	PDE_06704	YBL068W,YER099C,YHL011C
2	4	0.245	PDE_00156	YBL042C,YBR021W,YIR028W
2	4	0.241	PDE_02785	YBL030C,YBR085W,YMR056C
2	4	0.244	PDE_05922	YML072C,YNL087W,YOR086C
2	4	0.241	PDE_04629	YCR102C,YLR460C,YNL134C
2	5	0.382	PDE_00295,PDE_06542	YDR406W,YOR153W,YOR328W
2	3	0.333	PDE_01490	YBL003C,YDR225W
2	3	0.333	PDE_02916	YMR242C,YOR312C
2	3	0.33	PDE_05056	YMR237W,YOR299W
2	3	0.332	PDE_07962	YMR215W,YOL132W
2	3	0.333	PDE_03668	YMR194W,YPL249C-A
2	3	0.333	PDE_09149	YMR186W,YPL240C
2	4	0.487	PDE_03899,PDE_05548	YMR169C,YMR170C
2	3	0.332	PDE_08196	YBL016W,YGR040W
2	3	0.333	PDE_01489	YBL002W,YDR224C
2	3	0.332	PDE_05537	YMR008C,YOL011W
2	3	0.331	PDE_03104	YML106W,YMR271C
2	3	0.332	PDE_00891	YML100W,YMR261C
2	3	0.332	PDE_04579	YML085C,YML124C
2	3	0.329	PDE_00994,PDE_05327	YML078W
2	3	0.328	PDE_06769	YMR253C,YPL264C
2	3	0.333	PDE_04099	YBL027W,YBR084C-A
2	3	0.332	PDE_05156,PDE_08313	YMR318C
2	3	0.33	PDE_05324	YLR450W,YML075C
2	3	0.333	PDE_02330	YLR441C,YML063W
2	3	0.329	PDE_09860	YLR433C,YML057W
2	3	0.328	PDE_02800	YLR300W,YOR190W
2	3	0.333	PDE_08134	YLR293C,YOR185C
2	3	0.331	PDE_02217	YBL039C,YJR103W
2	3	0.333	PDE_04423	YLR287C-A,YOR182C
2	3	0.332	PDE_00817	YLR264W,YOR167C
2	3	0.333	PDE_05144	YNL096C,YOR096W
2	3	0.329	PDE_00684	YLR260W,YOR171C
2	3	0.329	PDE_09257	YLR249W,YNL014W
2	3	0.325	PDE_04680,PDE_08591	YLR220W
2	3	0.331	PDE_06774	YBL056W,YER089C
2	3	0.333	PDE_02907	YLR029C,YMR121C
2	3	0.33	PDE_03701	YLR028C,YMR120C
2	3	0.33	PDE_06394	YLL012W,YLR020C
2	3	0.333	PDE_05571	YKR089C,YOR081C
2	3	0.331	PDE_05550,PDE_09020	YBL064C
2	3	0.328	PDE_05390,PDE_08573	YKR070W
2	3	0.332	PDE_07581	YNL098C,YOR101W
2	3	0.331	PDE_04632	YKL220C,YOR381W
2	3	0.333	PDE_02864	YBL072C,YER102W
2	3	0.33	PDE_06418	YKL129C,YMR109W
2	3	0.332	PDE_03826	YKL126W,YMR104C
2	3	0.332	PDE_01155	YKL081W,YPL048W
2	3	0.328	PDE_03218,PDE_07153	YJR153W
2	3	0.323	PDE_02515,PDE_06813	YJR107W
2	3	0.333	PDE_05292	YBL087C,YER117W
2	3	0.328	PDE_09412	YBL089W,YER119C
2	3	0.333	PDE_07853	YJR094W-A,YPR043W
2	3	0.331	PDE_02071,PDE_02454	YJR078W
2	3	0.326	PDE_03790	YJR066W,YKL203C
2	3	0.329	PDE_03301,PDE_06562	YJL212C
2	3	0.333	PDE_00491	YJL190C,YLR367W
2	3	0.332	PDE_00304	YJL177W,YKL180W
2	3	0.331	PDE_01797	YJL172W,YOL153C
2	3	0.33	PDE_00404	YNL104C,YOR108W
2	3	0.329	PDE_04870	YBL106C,YPR032W
2	3	0.332	PDE_08296	YBR001C,YDR001C
2	3	0.333	PDE_01963	YJL138C,YKR059W
2	3	0.333	PDE_05315	YJL136C,YKR057W
2	3	0.331	PDE_07646	YJL134W,YKR053C
2	3	0.327	PDE_08235	YJL133W,YKR052C
2	3	0.33	PDE_07386	YJL112W,YKR036C
2	4	0.496	PDE_00232,PDE_08392	YBR009C,YNL030W
2	3	0.333	PDE_00233	YBR010W,YNL031C
2	3	0.331	PDE_08410	YJL098W,YKR028W
2	3	0.326	PDE_01685,PDE_03604	YBR015C
2	3	0.328	PDE_01761,PDE_07371	YJL093C
2	3	0.327	PDE_04525	YJL079C,YKR013W
2	3	0.332	PDE_01648	YJL045W,YKL148C
2	3	0.329	PDE_03483	YIR031C,YNL117W
2	3	0.329	PDE_01979,PDE_04412	YIR023W
2	3	0.326	PDE_01755	YBR024W,YBR037C
2	3	0.332	PDE_00706,PDE_08405	YIL160C
2	3	0.33	PDE_02707	YIL133C,YNL069C
2	3	0.329	PDE_09363	YIL126W,YOR290C
2	3	0.325	PDE_06258	YNL106C,YOR109W
2	3	0.333	PDE_09443	YBR031W,YDR012W
2	3	0.327	PDE_03799	YIL120W,YIL121W
2	3	0.331	PDE_07478	YIL085C,YNL029C
2	3	0.327	PDE_06313	YIL035C,YOR061W
2	3	0.333	PDE_06117	YAL062W,YOR375C
2	3	0.327	PDE_08414	YAL054C,YLR153C
2	3	0.33	PDE_01540	YHR210C,YNR071C
2	3	0.332	PDE_09053	YHR208W,YJR148W
2	3	0.333	PDE_01817	YHR203C,YJR145C
2	3	0.333	PDE_05203	YBR048W,YDR025W
2	3	0.33	PDE_05215	YHR179W,YPL171C
2	3	0.326	PDE_04448	YBR054W,YDR033W
2	3	0.333	PDE_04132	YHR141C,YNL162W
2	3	0.331	PDE_02561	YHR135C,YNL154C
2	3	0.326	PDE_01834	YHR123W,YNL130C
2	3	0.333	PDE_01832	YHR021C,YKL156W
2	3	0.328	PDE_05334	YHR001W,YKR003W
2	3	0.331	PDE_08174	YHL033C,YLL045C
2	3	0.333	PDE_08454,PDE_08993	YHL032C
2	3	0.332	PDE_03512	YHL001W,YKL006W
2	3	0.324	PDE_04051,PDE_08209	YAL049C
2	3	0.325	PDE_08250	YGR279C,YMR305C
2	3	0.329	PDE_04476,PDE_04843	YGR260W
2	3	0.331	PDE_01568	YBR082C,YDR059C
2	3	0.333	PDE_01901	YBR084W,YGR204W
2	3	0.329	PDE_08859	YGR256W,YHR183W
2	3	0.331	PDE_02546	YGR254W,YHR174W
2	3	0.325	PDE_01271	YGR240C,YMR205C
2	3	0.332	PDE_04795	YBR089C-A,YPR052C
2	3	0.328	PDE_00492	YNL108C,YOR110W
2	3	0.333	PDE_05108	YGR214W,YLR048W
2	3	0.329	PDE_00303,PDE_08560	YNL274C
2	3	0.322	PDE_01361	YGR197C,YJR015W
2	3	0.333	PDE_04060	YNL301C,YOL120C
2	3	0.324	PDE_01905	YGR136W,YPR154W
2	3	0.332	PDE_06146	YGR124W,YPR145W
2	3	0.33	PDE_03587	YGR121C,YPR138C
2	3	0.326	PDE_08528	YGR108W,YPR119W
2	3	0.328	PDE_03441	YGR092W,YPR111W
2	3	0.332	PDE_02793	YNL302C,YOL121C
2	3	0.333	PDE_02596	YBR118W,YPR080W
2	3	0.327	PDE_05197	YGR086C,YPL004C
2	3	0.333	PDE_05649	YGR085C,YPR102C
2	3	0.327	PDE_01512	YGR056W,YLR357W
2	3	0.332	PDE_02687	YGR034W,YLR344W
2	3	0.333	PDE_08248	YGR032W,YLR342W
2	3	0.328	PDE_04567,PDE_06401	YGR031W
2	3	0.333	PDE_00106	YGR027C,YLR333C
2	3	0.333	PDE_08795	YGR010W,YLR328W
2	3	0.332	PDE_06792	YGL147C,YNL067W
2	3	0.333	PDE_00780	YGL135W,YPL220W
2	3	0.331	PDE_05678	YGL076C,YPL198W
2	3	0.331	PDE_03397	YGL031C,YGR148C
2	3	0.323	PDE_05561,PDE_06305	YNR055C
2	4	0.494	PDE_01674,PDE_09509	YGL008C,YPL036W
2	3	0.331	PDE_00673,PDE_05150	YGL006W
2	3	0.332	PDE_03592	YFR053C,YGL253W
2	3	0.333	PDE_09361	YFR031C-A,YIL018W
2	3	0.331	PDE_01101	YBR161W,YPL057C
2	3	0.328	PDE_08939	YFR024C-A,YHR016C
2	3	0.329	PDE_09899	YFR015C,YLR258W
2	3	0.33	PDE_00703	YBR169C,YPL106C
2	3	0.326	PDE_08634	YFR014C,YOL016C
2	3	0.333	PDE_08915	YNR070W,YPL058C
2	3	0.33	PDE_03847	YOL055C,YPL258C
2	3	0.329	PDE_04825	YFL034C-A,YLR061W
2	3	0.328	PDE_02394	YFL004W,YPL019C
2	3	0.333	PDE_06703	YBR181C,YPL090C
2	3	0.329	PDE_05308	YOL119C,YOR306C
2	3	0.327	PDE_00313,PDE_09188	YER152C
2	3	0.332	PDE_01806	YBR189W,YPL081W
2	3	0.333	PDE_01807	YBR191W,YPL079W
2	3	0.332	PDE_02693	YER131W,YGL189C
2	3	0.332	PDE_02324	YER081W,YIL074C
2	3	0.333	PDE_05871	YER074W,YIL069C
2	3	0.327	PDE_07957	YER073W,YOR374W
2	3	0.326	PDE_06127	YER070W,YIL066C
2	3	0.329	PDE_07194	YER062C,YIL053W
2	3	0.332	PDE_05851	YER057C,YIL051C
2	3	0.333	PDE_05253	YER056C-A,YIL052C
2	3	0.33	PDE_02672	YBR214W,YGL056C
2	3	0.332	PDE_05651	YBR218C,YGL062W
2	3	0.328	PDE_02061,PDE_02674	YOR197W
2	3	0.325	PDE_04546	YER031C,YGL210W
2	3	0.326	PDE_00022,PDE_06027	YBR222C
2	3	0.331	PDE_01163	YER027C,YGL208W
2	3	0.326	PDE_05380	YER017C,YMR089C
2	3	0.333	PDE_01389	YEL070W,YNR073C
2	3	0.333	PDE_03690	YOR204W,YPL119C
2	3	0.33	PDE_06450	YEL047C,YJR051W
2	3	0.333	PDE_08701	YEL039C,YJR048W
2	3	0.333	PDE_02849	YEL034W,YJR047C
2	3	0.33	PDE_03027	YEL029C,YNR027W
2	3	0.333	PDE_06135	YEL006W,YIL006W
2	3	0.328	PDE_04229	YOR222W,YPL134C
2	3	0.331	PDE_07230	YDR502C,YLR180W
2	3	0.327	PDE_04919	YBR244W,YIR037W
2	3	0.332	PDE_08304	YBR245C,YOR304W
2	3	0.331	PDE_01824	YDR500C,YLR185W
2	3	0.331	PDE_02599	YDR471W,YHR010W
2	3	0.333	PDE_08100	YDR450W,YML026C
2	3	0.333	PDE_03793	YDR447C,YML024W
2	3	0.33	PDE_01458	YDR444W,YGL144C
2	3	0.333	PDE_03005	YDR418W,YEL054C
2	3	0.328	PDE_02346	YAL023C,YOR321W
2	3	0.333	PDE_08649	YDR385W,YOR133W
2	3	0.328	PDE_04898,PDE_08122	YDR371W
2	3	0.326	PDE_03786	YDR368W,YOR120W
2	3	0.329	PDE_08546,PDE_09404	YDR354W
2	3	0.333	PDE_09032	YBR267W,YLR387C
2	3	0.331	PDE_08354	YDR353W,YHR106W
2	3	0.326	PDE_06133	YOR226C,YPL135W
2	3	0.327	PDE_07984	YDR338C,YHR032W
2	3	0.332	PDE_02616	YDR312W,YHR066W
2	3	0.332	PDE_05708	YDR256C,YGR088W
2	3	0.327	PDE_05002,PDE_08917	YDR242W
2	3	0.333	PDE_02722	YOR231W,YPL140C
2	3	0.333	PDE_01925	YOR234C,YPL143W
2	4	0.489	PDE_02544,PDE_05280	YDR099W,YER177W
2	3	0.332	PDE_06355	YDR098C,YER174C
2	3	0.331	PDE_02957	YBR294W,YLR092W
2	3	0.328	PDE_04809	YOR237W,YPL145C
2	3	0.33	PDE_05231	YAL017W,YOL045W
2	3	0.329	PDE_03349	YDR093W,YER166W
2	3	0.327	PDE_03400	YOR334W,YPL060W
2	3	0.328	PDE_02773,PDE_09310	YOR380W
2	3	0.33	PDE_00149,PDE_10001	YPL069C
2	3	0.33	PDE_08259	YCL011C,YNL004W
2	3	0.325	PDE_01424,PDE_09839	YDL237W
2	3	0.333	PDE_00987	YDL229W,YNL209W
2	3	0.332	PDE_01802,PDE_06164	YPR157W
2	3	0.33	PDE_05414	YDL222C,YML052W
2	3	0.33	PDE_01819,PDE_05825	YDL174C
2	4	0.488	PDE_01388,PDE_06397	YDL138W,YDL194W
2	3	0.325	PDE_02685	YCL035C,YDR513W
2	3	0.332	PDE_00777	YDL137W,YDL192W
2	3	0.333	PDE_07189	YDL136W,YDL191W
2	3	0.333	PDE_08013	YDL134C,YDL188C
2	3	0.332	PDE_03916	YDL131W,YDL182W
2	3	0.329	PDE_06664	YDL113C,YDR425W
2	3	0.333	PDE_03843	YDL083C,YMR143W
2	3	0.331	PDE_05774	YDL082W,YMR142C
2	3	0.333	PDE_02590	YDL081C,YDL130W
2	3	0.333	PDE_08142	YDL075W,YLR406C
2	3	0.329	PDE_02593	YCL064C,YIL167W
2	3	0.332	PDE_01899	YDL066W,YLR174W
2	3	0.326	PDE_03053	YCR004C,YDR032C
2	3	0.325	PDE_08205	YDL061C,YLR388W
2	3	0.33	PDE_08531	YDL042C,YOL068C
2	3	0.328	PDE_05212	YCR010C,YNR002C
2	3	0.325	PDE_07775	YDL036C,YOL066C
2	3	0.33	PDE_04537	YDL022W,YOL059W
2	3	0.327	PDE_00911,PDE_02738	YPR201W
2	3	0.332	PDE_03036	YCR073W-A,YNR034W
2	3	0.328	PDE_09875	YCR034W,YLR372W
2	3	0.333	PDE_03807	YCR031C,YJL191W
2	2	1	PDE_06379	YCR026C
2	2	1	PDE_02326	YCR027C
2	2	1	PDE_00279	YCR028C
2	2	1	PDE_09640	YCR028C-A
2	2	1	PDE_04974	YCR024C
2	2	1	PDE_00469	YCR023C
2	2	1	PDE_06430	YCR036W
2	2	1	PDE_06523	YCR042C
2	2	1	PDE_02623	YCR044C
2	2	1	PDE_09844	YCR046C
2	2	1	PDE_02496	YCR047C
2	2	1	PDE_07046	YCR051W
2	2	1	PDE_01735	YCR053W
2	2	1	PDE_09457	YCR057C
2	2	1	PDE_09440	YCR059C
2	2	1	PDE_02307	YCR063W
2	2	1	PDE_07801	YCR066W
2	2	1	PDE_04222	YCR068W
2	2	1	PDE_04520	YCR072C
2	2	1	PDE_00361	YCR019W
2	2	1	PDE_03018	YCR075C
2	2	1	PDE_07300	YCR077C
2	2	1	PDE_01024	YCR084C
2	2	1	PDE_07653	YCR090C
2	2	1	PDE_00818	YCR092C
2	2	1	PDE_04716	YCR093W
2	2	1	PDE_02341	YCR094W
2	2	1	PDE_05348	YCR098C
2	2	1	PDE_04996	YCR017C
2	2	1	PDE_03207	YDL001W
2	2	1	PDE_03014	YDL004W
2	2	1	PDE_07340	YDL006W
2	2	1	PDE_09707	YDL007W
2	2	1	PDE_05991	YDL008W
2	2	1	PDE_00286	YDL014W
2	2	1	PDE_06709	YDL015C
2	2	1	PDE_01510	YDL017W
2	2	1	PDE_07158	YCR012W
2	2	1	PDE_00169	YDL029W
2	2	1	PDE_09905	YDL030W
2	2	1	PDE_07986	YDL031W
2	2	1	PDE_05427	YCR011C
2	2	1	PDE_08552	YDL040C
2	2	1	PDE_02268	YCR009C
2	2	1	PDE_08555	YDL043C
2	2	1	PDE_07994	YDL045C
2	2	1	PDE_02877	YDL045W-A
2	2	1	PDE_03110	YDL046W
2	2	1	PDE_07950	YDL047W
2	2	1	PDE_00701	YDL051W
2	2	1	PDE_04206	YDL052C
2	2	1	PDE_07357	YDL054C
2	2	1	PDE_08458	YDL055C
2	2	1	PDE_02036	YDL056W
2	2	1	PDE_08726	YDL060W
2	2	1	PDE_02262	YCR008W
2	2	1	PDE_06147	YDL064W
2	2	1	PDE_05037	YDL065C
2	2	1	PDE_06826	YCR002C
2	2	1	PDE_00568	YDL072C
2	2	1	PDE_03581	YDL074C
2	2	1	PDE_03122	YCL059C
2	2	1	PDE_02202	YCL057W
2	2	1	PDE_00155	YCL057C-A
2	2	1	PDE_07485	YCL054W
2	2	1	PDE_03408	YDL084W
2	2	1	PDE_02424	YDL086W
2	2	1	PDE_08777	YDL087C
2	2	1	PDE_03958	YDL090C
2	2	1	PDE_00294	YDL091C
2	2	1	PDE_01584	YDL095W
2	2	1	PDE_02603	YDL097C
2	2	1	PDE_00264	YDL098C
2	2	1	PDE_04757	YDL100C
2	2	1	PDE_06267	YDL101C
2	2	1	PDE_07793	YDL102W
2	2	1	PDE_05867	YDL103C
2	2	1	PDE_09168	YDL104C
2	2	1	PDE_06263	YDL108W
2	2	1	PDE_08699	YDL111C
2	2	1	PDE_03665	YCL047C
2	2	1	PDE_02605	YDL114W
2	2	1	PDE_08511	YDL119C
2	2	1	PDE_06736	YDL120W
2	2	1	PDE_02350	YDL124W
2	2	1	PDE_08200	YDL125C
2	2	1	PDE_07822	YDL126C
2	2	1	PDE_02875	YDL128W
2	2	1	PDE_09405	YCL045C
2	2	1	PDE_00128	YDL132W
2	2	1	PDE_06215	YCL043C
2	2	1	PDE_07555	YDL135C
2	2	1	PDE_03370	YCL040W
2	2	1	PDE_06217	YCL038C
2	2	1	PDE_08759	YCL034W
2	2	1	PDE_00582	YDL140C
2	2	1	PDE_03715	YDL141W
2	2	1	PDE_03577	YDL142C
2	2	1	PDE_01646	YDL143W
2	2	1	PDE_03846	YDL144C
2	2	1	PDE_01727	YDL145C
2	2	1	PDE_01829	YDL147W
2	2	1	PDE_00946	YDL148C
2	2	1	PDE_08255	YDL149W
2	2	1	PDE_00626	YDL153C
2	2	1	PDE_00625	YDL154W
2	2	1	PDE_08252	YDL156W
2	2	1	PDE_01550	YDL159W
2	2	1	PDE_01498	YDL160C
2	2	1	PDE_04353	YDL164C
2	2	1	PDE_02315	YDL166C
2	2	1	PDE_03064	YDL168W
2	2	1	PDE_02386	YDL171C
2	2	1	PDE_08947	YCL033C
2	2	1	PDE_09921	YDL178W
2	2	1	PDE_09914	YDL185W
2	2	1	PDE_03662	YDL190C
2	2	1	PDE_06875	YDL193W
2	2	1	PDE_08717	YDL195W
2	2	1	PDE_02377	YDL198C
2	2	1	PDE_08517	YDL201W
2	2	1	PDE_04232	YDL205C
2	2	1	PDE_09307	YDL209C
2	2	1	PDE_09323	YDL210W
2	2	1	PDE_05456	YDL212W
2	2	1	PDE_06171	YDL215C
2	2	1	PDE_09924	YDL217C
2	2	1	PDE_01710	YDL219W
2	2	1	PDE_00332	YCL030C
