organism	tf_locus_tag	tf_name	tf_ortho_names	tg_locus_tag	tg_name	tg_ortho_names	interaction	ortho_pox	ortho_ani	ortho_ncr	ortho_sce	tfbs_count
Pucsensis	PECH_000052	PECH_000052	mcnB	PECH_002727	PECH_002727	nimA	+	1	1	0	0	0
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000007	PECH_000007		+	1	0	1	0	0
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000017	PECH_000017		+	1	0	1	0	1
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000020	PECH_000020		-	1	0	1	0	0
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000034	PECH_000034		-	1	0	1	0	1
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000041	PECH_000041		-	1	0	1	0	0
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000048	PECH_000048		+	1	0	1	0	0
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000050	PECH_000050		+	1	0	1	0	0
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000052	PECH_000052		-	1	0	1	0	0
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000054	PECH_000054	tim8	+	1	0	1	0	0
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000055	PECH_000055		+	1	0	1	0	0
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000057	PECH_000057		-	1	0	1	0	0
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000059	PECH_000059		+	1	0	1	0	0
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000062	PECH_000062		+	1	0	1	0	0
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000064	PECH_000064		-	1	0	1	0	1
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000067	PECH_000067		+	1	0	1	0	0
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000070	PECH_000070	cot-2	+	1	0	1	0	2
Pucsensis	PECH_000278	PECH_000278	col-26	PECH_000073	PECH_000073		+	0	0	1	0	0
