# Species	Genes	Alg.-Conn.	Poxalicum_114-2.fasta	Anidulans_FGSC_A4_v.s10-m04-r16.fasta
2	8	0.122	PDE_06578	AN0826,AN3478,AN4391,AN4877,AN6559,AN7516,AN8788
2	4	0.144	PDE_00794,PDE_00320	AN11097,AN8106
2	4	0.146	PDE_08931,PDE_02456	AN2422,AN2785
2	4	0.144	PDE_03401,PDE_02514	AN7624,AN7152
2	4	0.143	PDE_07612,PDE_09453	AN9170,AN5397
2	3	0.321	PDE_09243	AN0148,AN7820
2	3	0.329	PDE_09231	AN1650,AN6659
2	3	0.327	PDE_09027	AN5260,AN8537
2	3	0.328	PDE_08982	AN1866,AN7868
2	3	0.327	PDE_08891,PDE_09403	AN12477
2	3	0.331	PDE_08767	AN10565,AN7074
2	3	0.327	PDE_08047,PDE_08138	AN11053
2	3	0.328	PDE_08046,PDE_09407	AN4367
2	3	0.328	PDE_07951	AN8970,AN9181
2	3	0.326	PDE_07940	AN0497,AN6461
2	3	0.327	PDE_09299	AN2286,AN8979
2	3	0.329	PDE_07437	AN5292,AN7640
2	3	0.329	PDE_07346,PDE_08154	AN6412
2	3	0.327	PDE_07344,PDE_07927	AN6888
2	3	0.325	PDE_07165	AN0015,AN11934
2	3	0.327	PDE_07163	AN0016,AN1242
2	3	0.331	PDE_06915,PDE_07062	AN10499
2	3	0.328	PDE_06772	AN6459,AN8152
2	3	0.324	PDE_06734	AN7900,AN8162
2	3	0.329	PDE_09390	AN0010,AN1101
2	3	0.326	PDE_06345,PDE_07896	AN7229
2	3	0.33	PDE_06204,PDE_09423	AN8735
2	3	0.332	PDE_06202,PDE_07002	AN11821
2	3	0.333	PDE_06089,PDE_09289	AN7102
2	3	0.331	PDE_05469	AN1611,AN8351
2	3	0.327	PDE_05239	AN4532,AN8998
2	3	0.329	PDE_05215	AN12101,AN5228
2	3	0.326	PDE_04628	AN10469,AN11096
2	3	0.333	PDE_04616	AN2573,AN9275
2	3	0.328	PDE_04464	AN0386,AN5371
2	3	0.328	PDE_04452	AN0610,AN8597
2	3	0.333	PDE_04334,PDE_06738	AN11154
2	3	0.33	PDE_04328,PDE_09728	AN6082
2	3	0.331	PDE_04289	AN5690,AN8454
2	3	0.329	PDE_04107	AN10884,AN1623
2	3	0.326	PDE_04101,PDE_09950	AN8043
2	3	0.326	PDE_09414	AN2578,AN8395
2	3	0.325	PDE_03846	AN10126,AN2389
2	3	0.329	PDE_03711,PDE_09226	AN1285
2	3	0.333	PDE_03494,PDE_06357	AN2591
2	3	0.328	PDE_03484,PDE_04519	AN0362
2	3	0.329	PDE_03475	AN6669,AN8737
2	3	0.333	PDE_03474	AN1301,AN7161
2	3	0.331	PDE_03473	AN8717,AN9495
2	3	0.329	PDE_03455,PDE_03926	AN6791
2	3	0.329	PDE_03311,PDE_09767	AN0250
2	3	0.327	PDE_03296	AN6470,AN8969
2	3	0.33	PDE_03218,PDE_07938	AN4372
2	3	0.326	PDE_02903	AN3992,AN7089
2	3	0.328	PDE_00006,PDE_08484	AN0987
2	3	0.331	PDE_09419	AN12192,AN3979
2	3	0.329	PDE_02203,PDE_08329	AN8105
2	3	0.332	PDE_02134	AN2390,AN3672
2	3	0.33	PDE_02128	AN7389,AN8581
2	3	0.333	PDE_01949,PDE_07137	AN10868
2	3	0.331	PDE_01690	AN3053,AN6948
2	4	0.486	PDE_01467,PDE_07259	AN2331,AN2569
2	3	0.329	PDE_01390	AN2469,AN7268
2	3	0.329	PDE_01383	AN6778,AN7137
2	3	0.33	PDE_01256,PDE_06782	AN8421
2	3	0.326	PDE_01219,PDE_04019	AN7874
2	3	0.332	PDE_01215,PDE_04024	AN7876
2	3	0.328	PDE_01212,PDE_02131	AN7884
2	3	0.326	PDE_01085	AN6548,AN7925
2	3	0.331	PDE_00727,PDE_01339	AN4852
2	3	0.332	PDE_00698,PDE_05633	AN1041
2	3	0.328	PDE_00639,PDE_01240	AN9293
2	3	0.328	PDE_00592,PDE_06096	AN3763
2	3	0.328	PDE_00453	AN0878,AN0901
2	3	0.323	PDE_00351,PDE_06675	AN2108
2	3	0.328	PDE_00003,PDE_09938	AN11039
2	3	0.328	PDE_00301	AN10122,AN10690
2	3	0.331	PDE_00276,PDE_06546	AN2541
2	4	0.49	PDE_00232,PDE_08392	AN0734,AN2426
2	4	0.487	PDE_00175,PDE_02095	AN2530,AN3555
2	2	1	PDE_00132	AN1023
2	2	1	PDE_00133	AN1024
2	2	1	PDE_00135	AN10138
2	2	1	PDE_00136	AN0644
2	2	1	PDE_00137	AN0646
2	2	1	PDE_00138	AN0647
2	2	1	PDE_00140	AN0648
2	2	1	PDE_00141	AN10112
2	2	1	PDE_00142	AN0649
2	2	1	PDE_00146	AN0651
2	2	1	PDE_00148	AN0653
2	2	1	PDE_00149	AN0654
2	2	1	PDE_00150	AN0655
2	2	1	PDE_00151	AN0656
2	2	1	PDE_00152	AN0657
2	2	1	PDE_00153	AN0658
2	2	1	PDE_00154	AN0659
2	2	1	PDE_00155	AN11278
2	2	1	PDE_00156	AN0660
2	2	1	PDE_00157	AN0664
2	2	1	PDE_00160	AN0661
2	2	1	PDE_00162	AN0665
2	2	1	PDE_00163	AN0666
2	2	1	PDE_00164	AN0667
2	2	1	PDE_00165	AN0668
2	2	1	PDE_00166	AN0670
2	2	1	PDE_00167	AN0671
2	2	1	PDE_00168	AN0672
2	2	1	PDE_00169	AN0673
2	2	1	PDE_00170	AN3679
2	2	1	PDE_00171	AN6274
2	2	1	PDE_00172	AN0682
2	2	1	PDE_00173	AN10111
2	2	1	PDE_00174	AN7138
2	2	1	PDE_00131	AN1022
2	2	1	PDE_00176	AN0678
2	2	1	PDE_00177	AN0677
2	2	1	PDE_00180	AN0676
2	2	1	PDE_00181	AN10110
2	2	1	PDE_00182	AN0675
2	2	1	PDE_00183	AN0674
2	2	1	PDE_00187	AN0684
2	2	1	PDE_00189	AN0685
2	2	1	PDE_00190	AN0686
2	2	1	PDE_00191	AN12213
2	2	1	PDE_00192	AN0687
2	2	1	PDE_00193	AN6215
2	2	1	PDE_00194	AN0688
2	2	1	PDE_00196	AN8497
2	2	1	PDE_00197	AN4277
2	2	1	PDE_00198	AN0689
2	2	1	PDE_00199	AN0690
2	2	1	PDE_00200	AN0691
2	2	1	PDE_00201	AN0692
2	2	1	PDE_00203	AN0693
2	2	1	PDE_00204	AN0694
2	2	1	PDE_00206	AN0695
2	2	1	PDE_00207	AN0696
2	2	1	PDE_00208	AN0697
2	2	1	PDE_00209	AN0699
2	2	1	PDE_00211	AN0700
2	2	1	PDE_00217	AN0703
2	2	1	PDE_00218	AN0704
2	2	1	PDE_00220	AN0705
2	2	1	PDE_00221	AN0706
2	2	1	PDE_00222	AN0707
2	2	1	PDE_00224	AN7773
2	2	1	PDE_00226	AN7774
2	2	1	PDE_00230	AN0709
2	2	1	PDE_00130	AN1021
2	2	1	PDE_00233	AN0733
2	2	1	PDE_00236	AN0732
2	2	1	PDE_00238	AN12216
2	2	1	PDE_00239	AN10123
2	2	1	PDE_00240	AN10118
2	2	1	PDE_00241	AN0728
2	2	1	PDE_00242	AN0727
2	2	1	PDE_00243	AN12419
2	2	1	PDE_00244	AN9436
2	2	1	PDE_00245	AN9437
2	2	1	PDE_00246	AN9438
2	2	1	PDE_00248	AN0726
2	2	1	PDE_00251	AN10108
2	2	1	PDE_00252	AN0725
2	2	1	PDE_00253	AN0721
2	2	1	PDE_00254	AN0722
2	2	1	PDE_00255	AN0723
2	2	1	PDE_00256	AN10116
2	2	1	PDE_00258	AN10115
2	2	1	PDE_00260	AN0720
2	2	1	PDE_00261	AN0719
