# Species	Genes	Alg.-Conn.	Poxalicum_114-2.fasta	Ncrassa_OR74A_v.12.fasta
2	4	0.146	PDE_00091,PDE_00930	NCU00547,NCU10239
2	4	0.245	PDE_03711,PDE_05193,PDE_09226	NCU00762
2	4	0.143	PDE_07927,PDE_07344	NCU00994,NCU08739
2	4	0.145	PDE_00501,PDE_01587	NCU02155,NCU07836
2	4	0.244	PDE_03218,PDE_04162,PDE_07153	NCU02369
2	4	0.243	PDE_01372,PDE_02797,PDE_04316	NCU03404
2	4	0.24	PDE_00002,PDE_02186,PDE_07679	NCU09564
2	4	0.241	PDE_01074,PDE_06894,PDE_08821	NCU09419
2	4	0.247	PDE_05247,PDE_07104,PDE_08971	NCU04195
2	4	0.144	PDE_03455,PDE_03926	NCU04865,NCU06013
2	4	0.244	PDE_02729,PDE_06396,PDE_08042	NCU06619
2	4	0.245	PDE_01235,PDE_04017,PDE_09198	NCU08399
2	3	0.329	PDE_01405	NCU08440,NCU09914
2	3	0.327	PDE_02771,PDE_08685	NCU08409
2	3	0.328	PDE_01202,PDE_01734	NCU08402
2	3	0.333	PDE_05534,PDE_06899	NCU08738
2	3	0.325	PDE_02918,PDE_05075	NCU08387
2	3	0.327	PDE_08799,PDE_09021	NCU08232
2	3	0.328	PDE_00060,PDE_03943	NCU08011
2	3	0.327	PDE_03748,PDE_07706	NCU07709
2	3	0.324	PDE_02019,PDE_09626	NCU07649
2	3	0.329	PDE_01630	NCU07609,NCU09039
2	3	0.327	PDE_06406,PDE_06601	NCU07473
2	3	0.327	PDE_02079,PDE_08820	NCU07452
2	3	0.333	PDE_03831,PDE_04640	NCU07175
2	3	0.328	PDE_04051,PDE_08209	NCU07127
2	3	0.33	PDE_07479	NCU07101,NCU09154
2	3	0.327	PDE_04021,PDE_07951	NCU06945
2	3	0.329	PDE_02632,PDE_09424	NCU06860
2	3	0.326	PDE_07664,PDE_09066	NCU06847
2	3	0.332	PDE_00005,PDE_05305	NCU06720
2	3	0.325	PDE_01853,PDE_03909	NCU08858
2	3	0.331	PDE_01808,PDE_07564	NCU06556
2	3	0.328	PDE_03311,PDE_09767	NCU06138
2	3	0.327	PDE_06096,PDE_06674	NCU06132
2	3	0.326	PDE_05550,PDE_09020	NCU06031
2	3	0.324	PDE_05223,PDE_06621	NCU06010
2	3	0.326	PDE_08454,PDE_08993	NCU06005
2	3	0.331	PDE_04936,PDE_06706	NCU05858
2	3	0.332	PDE_01409,PDE_04239	NCU05630
2	3	0.325	PDE_06972,PDE_10003	NCU05376
2	3	0.332	PDE_03319	NCU05187,NCU05189
2	3	0.329	PDE_00321,PDE_09143	NCU05168
2	3	0.325	PDE_09864	NCU05138,NCU09832
2	3	0.323	PDE_05481	NCU04942,NCU07754
2	3	0.333	PDE_04334,PDE_06738	NCU04913
2	3	0.332	PDE_03452,PDE_06951	NCU08909
2	3	0.326	PDE_08346	NCU04856,NCU06724
2	3	0.326	PDE_02513,PDE_08873	NCU04809
2	3	0.332	PDE_02635	NCU04721,NCU10359
2	3	0.328	PDE_09438,PDE_09807	NCU04653
2	3	0.332	PDE_09154	NCU04626,NCU09427
2	3	0.332	PDE_02811,PDE_04216	NCU04594
2	3	0.331	PDE_04898,PDE_08122	NCU04554
2	3	0.328	PDE_08546,PDE_09404	NCU04411
2	3	0.332	PDE_01679,PDE_09227	NCU04390
2	3	0.329	PDE_08176	NCU04312,NCU04534
2	3	0.33	PDE_00909,PDE_01556	NCU09391
2	3	0.333	PDE_08047,PDE_08138	NCU03805
2	3	0.328	PDE_07817	NCU03682,NCU05341
2	3	0.328	PDE_00401,PDE_07531	NCU09672
2	3	0.328	PDE_03316,PDE_03382	NCU03151
2	3	0.331	PDE_03468	NCU03049,NCU05885
2	3	0.328	PDE_07148	NCU02930,NCU09141
2	3	0.33	PDE_01255,PDE_06026	NCU02909
2	3	0.331	PDE_01753,PDE_02827	NCU02896
2	3	0.331	PDE_04452,PDE_09866	NCU02887
2	3	0.331	PDE_00808,PDE_01433	NCU02852
2	3	0.33	PDE_00845	NCU02783,NCU05830
2	3	0.331	PDE_01147,PDE_08131	NCU02765
2	3	0.332	PDE_05647	NCU02507,NCU08794
2	3	0.325	PDE_04685	NCU02478,NCU08132
2	3	0.328	PDE_06745,PDE_08763	NCU09798
2	3	0.333	PDE_07351	NCU02317,NCU09182
2	3	0.332	PDE_01774,PDE_06879	NCU02191
2	3	0.332	PDE_02770,PDE_08519	NCU09811
2	3	0.33	PDE_00911,PDE_02738	NCU01852
2	3	0.332	PDE_01674,PDE_09509	NCU01680
2	3	0.333	PDE_00197,PDE_03140	NCU01633
2	3	0.327	PDE_04618	NCU01162,NCU07253
2	3	0.331	PDE_00013,PDE_02412	NCU01123
2	3	0.329	PDE_04032	NCU01107,NCU08699
2	3	0.328	PDE_01395,PDE_02876	NCU11030
2	3	0.326	PDE_03702	NCU00993,NCU01038
2	3	0.33	PDE_00540	NCU00905,NCU04092
2	3	0.331	PDE_06768	NCU00836,NCU03328
2	3	0.331	PDE_04120	NCU00810,NCU05956
2	3	0.325	PDE_03615,PDE_09762	NCU11278
2	3	0.33	PDE_07984	NCU00755,NCU07720
2	3	0.332	PDE_06018	NCU00721,NCU07129
2	3	0.326	PDE_09278	NCU00710,NCU04870
2	3	0.319	PDE_09551	NCU00700,NCU09823
2	3	0.326	PDE_00421,PDE_05523	NCU00648
2	3	0.328	PDE_00791,PDE_08676	NCU11365
2	3	0.333	PDE_05968,PDE_08026	NCU00522
2	3	0.329	PDE_06009,PDE_09324	NCU16721
2	3	0.331	PDE_03899,PDE_05548	NCU00378
2	3	0.33	PDE_05659	NCU00365,NCU16419
2	3	0.332	PDE_03417,PDE_04738	NCU00364
2	3	0.333	PDE_00236,PDE_03144	NCU00306
2	3	0.331	PDE_00555	NCU00304,NCU07107
2	4	0.494	PDE_00232,PDE_08392	NCU00212,NCU01634
2	3	0.333	PDE_05337,PDE_06062	NCU00187
2	2	1	PDE_03029	NCU00172
2	2	1	PDE_09160	NCU00173
2	2	1	PDE_01093	NCU00177
2	2	1	PDE_02055	NCU00178
2	2	1	PDE_00486	NCU00180
2	2	1	PDE_07339	NCU00181
2	2	1	PDE_07449	NCU00182
2	2	1	PDE_03732	NCU00183
2	2	1	PDE_03030	NCU00171
2	2	1	PDE_05482	NCU00188
2	2	1	PDE_05498	NCU00193
2	2	1	PDE_05499	NCU00194
2	2	1	PDE_09293	NCU00195
2	2	1	PDE_03061	NCU00196
2	2	1	PDE_03063	NCU00198
2	2	1	PDE_00141	NCU00199
2	2	1	PDE_00140	NCU00200
2	2	1	PDE_06642	NCU00202
2	2	1	PDE_09156	NCU00203
2	2	1	PDE_09162	NCU00204
2	2	1	PDE_09161	NCU00205
2	2	1	PDE_09177	NCU00206
2	2	1	PDE_05164	NCU00207
2	2	1	PDE_04202	NCU00209
2	2	1	PDE_04203	NCU00210
2	2	1	PDE_08400	NCU00211
2	2	1	PDE_00532	NCU00169
2	2	1	PDE_04207	NCU00213
2	2	1	PDE_04208	NCU00214
2	2	1	PDE_06671	NCU00215
2	2	1	PDE_06672	NCU00216
2	2	1	PDE_00545	NCU00218
2	2	1	PDE_00544	NCU00219
2	2	1	PDE_05036	NCU00223
2	2	1	PDE_05035	NCU00225
2	2	1	PDE_06324	NCU00226
2	2	1	PDE_00066	NCU00227
2	2	1	PDE_00063	NCU00230
2	2	1	PDE_00113	NCU00232
2	2	1	PDE_00449	NCU00236
2	2	1	PDE_00536	NCU00237
2	2	1	PDE_00405	NCU00239
2	2	1	PDE_05386	NCU00242
2	2	1	PDE_05154	NCU00243
2	2	1	PDE_05326	NCU00244
2	2	1	PDE_08920	NCU00251
2	2	1	PDE_02740	NCU00253
2	2	1	PDE_05145	NCU00257
2	2	1	PDE_05144	NCU00258
2	2	1	PDE_05156	NCU00260
2	2	1	PDE_02217	NCU00261
2	2	1	PDE_02255	NCU00269
2	2	1	PDE_03028	NCU00270
2	2	1	PDE_07410	NCU00272
2	2	1	PDE_07411	NCU00273
2	2	1	PDE_07412	NCU00274
2	2	1	PDE_07415	NCU00276
2	2	1	PDE_08327	NCU00279
2	2	1	PDE_03555	NCU00280
2	2	1	PDE_07973	NCU00289
2	2	1	PDE_06680	NCU00290
2	2	1	PDE_02789	NCU00292
2	2	1	PDE_09487	NCU00293
2	2	1	PDE_00780	NCU00294
2	2	1	PDE_07785	NCU00295
2	2	1	PDE_06357	NCU00298
2	2	1	PDE_03557	NCU00299
2	2	1	PDE_09564	NCU00300
2	2	1	PDE_00626	NCU00301
2	2	1	PDE_00627	NCU00302
2	2	1	PDE_00148	NCU00303
2	2	1	PDE_04206	NCU00168
2	2	1	PDE_06332	NCU00305
2	2	1	PDE_00417	NCU00167
2	2	1	PDE_00029	NCU00308
2	2	1	PDE_02954	NCU00310
2	2	1	PDE_02955	NCU00311
2	2	1	PDE_03013	NCU00315
2	2	1	PDE_03000	NCU00316
2	2	1	PDE_02999	NCU00317
2	2	1	PDE_04175	NCU00320
2	2	1	PDE_03217	NCU00324
2	2	1	PDE_03212	NCU00325
2	2	1	PDE_05547	NCU00326
2	2	1	PDE_03216	NCU00330
2	2	1	PDE_08863	NCU00332
2	2	1	PDE_00045	NCU00333
2	2	1	PDE_04370	NCU00334
2	2	1	PDE_04369	NCU00335
2	2	1	PDE_08123	NCU00336
2	2	1	PDE_07828	NCU00337
2	2	1	PDE_01021	NCU00338
2	2	1	PDE_09318	NCU00340
2	2	1	PDE_04354	NCU00345
2	2	1	PDE_00418	NCU00346
2	2	1	PDE_07843	NCU00347
2	2	1	PDE_07849	NCU00348
2	2	1	PDE_07851	NCU00350
2	2	1	PDE_07840	NCU00351
2	2	1	PDE_04371	NCU00352
2	2	1	PDE_01404	NCU00355
2	2	1	PDE_02484	NCU00356
2	2	1	PDE_02472	NCU00357
2	2	1	PDE_02460	NCU00358
2	2	1	PDE_02453	NCU00359
2	2	1	PDE_02452	NCU00360
2	2	1	PDE_02451	NCU00361
2	2	1	PDE_04362	NCU00166
2	2	1	PDE_07809	NCU00164
2	2	1	PDE_04360	NCU00366
2	2	1	PDE_09945	NCU00369
2	2	1	PDE_06661	NCU00371
2	2	1	PDE_06662	NCU00372
2	2	1	PDE_02747	NCU00373
2	2	1	PDE_00108	NCU00376
2	2	1	PDE_02695	NCU00377
2	2	1	PDE_07810	NCU00163
2	2	1	PDE_02952	NCU00382
2	2	1	PDE_03014	NCU00385
2	2	1	PDE_02778	NCU00387
2	2	1	PDE_02764	NCU00389
2	2	1	PDE_02765	NCU00392
2	2	1	PDE_05839	NCU00395
2	2	1	PDE_08118	NCU00396
2	2	1	PDE_04364	NCU00397
2	2	1	PDE_04363	NCU00398
2	2	1	PDE_02270	NCU00404
2	2	1	PDE_02271	NCU00405
2	2	1	PDE_02272	NCU00406
2	2	1	PDE_02474	NCU00407
2	2	1	PDE_02301	NCU00409
2	2	1	PDE_02302	NCU00410
2	2	1	PDE_09359	NCU00411
2	2	1	PDE_09360	NCU00412
2	2	1	PDE_09361	NCU00413
2	2	1	PDE_09358	NCU00414
2	2	1	PDE_09357	NCU00415
2	2	1	PDE_09356	NCU00416
2	2	1	PDE_02307	NCU00417
2	2	1	PDE_01109	NCU00418
2	2	1	PDE_01115	NCU00419
2	2	1	PDE_01152	NCU00420
2	2	1	PDE_07819	NCU00421
2	2	1	PDE_07815	NCU00422
2	2	1	PDE_07820	NCU00424
2	2	1	PDE_07337	NCU00427
2	2	1	PDE_07336	NCU00428
2	2	1	PDE_07884	NCU00430
2	2	1	PDE_00768	NCU00431
2	2	1	PDE_07469	NCU00432
2	2	1	PDE_07340	NCU00434
2	2	1	PDE_07332	NCU00435
2	2	1	PDE_07333	NCU00436
2	2	1	PDE_07459	NCU00440
2	2	1	PDE_07458	NCU00441
2	2	1	PDE_07456	NCU00443
2	2	1	PDE_07457	NCU00444
2	2	1	PDE_07343	NCU00445
2	2	1	PDE_00766	NCU00446
2	2	1	PDE_00765	NCU00447
2	2	1	PDE_09321	NCU00450
2	2	1	PDE_07812	NCU00162
2	2	1	PDE_09322	NCU00453
2	2	1	PDE_07859	NCU00455
2	2	1	PDE_06890	NCU00456
2	2	1	PDE_07770	NCU00457
2	2	1	PDE_07769	NCU00458
2	2	1	PDE_07768	NCU00459
2	2	1	PDE_06171	NCU00461
2	2	1	PDE_03800	NCU00463
2	2	1	PDE_07774	NCU00464
2	2	1	PDE_07766	NCU00465
2	2	1	PDE_07767	NCU00466
2	2	1	PDE_07763	NCU00467
2	2	1	PDE_03808	NCU00468
2	2	1	PDE_03814	NCU00469
2	2	1	PDE_03813	NCU00470
2	2	1	PDE_02480	NCU00472
2	2	1	PDE_02459	NCU00473
2	2	1	PDE_08100	NCU00475
2	2	1	PDE_08102	NCU00476
2	2	1	PDE_08101	NCU00477
2	2	1	PDE_02983	NCU00478
2	2	1	PDE_06666	NCU00480
2	2	1	PDE_09949	NCU00481
2	2	1	PDE_09943	NCU00484
2	2	1	PDE_05370	NCU00487
2	2	1	PDE_02756	NCU00488
2	2	1	PDE_02754	NCU00489
2	2	1	PDE_00517	NCU00490
2	2	1	PDE_00520	NCU00493
2	2	1	PDE_00489	NCU00494
2	2	1	PDE_02783	NCU00495
2	2	1	PDE_00105	NCU00497
2	2	1	PDE_00389	NCU00498
2	2	1	PDE_06458	NCU00499
2	2	1	PDE_06465	NCU00501
2	2	1	PDE_06464	NCU00502
2	2	1	PDE_08854	NCU00504
2	2	1	PDE_08855	NCU00505
2	2	1	PDE_06965	NCU00506
2	2	1	PDE_06963	NCU00512
2	2	1	PDE_04230	NCU00513
2	2	1	PDE_06860	NCU00517
2	2	1	PDE_01624	NCU00518
2	2	1	PDE_06557	NCU00519
2	2	1	PDE_06372	NCU00520
2	2	1	PDE_07179	NCU00521
2	2	1	PDE_00815	NCU00161
2	2	1	PDE_03593	NCU00523
2	2	1	PDE_05402	NCU00527
2	2	1	PDE_05401	NCU00528
2	2	1	PDE_05693	NCU00535
2	2	1	PDE_09810	NCU00536
2	2	1	PDE_00922	NCU00537
2	2	1	PDE_09652	NCU00541
2	2	1	PDE_09653	NCU00542
2	2	1	PDE_00040	NCU00160
2	2	1	PDE_09608	NCU00548
2	2	1	PDE_02434	NCU00549
2	2	1	PDE_09799	NCU00551
2	2	1	PDE_08070	NCU00552
2	2	1	PDE_01600	NCU00553
2	2	1	PDE_01818	NCU00554
2	2	1	PDE_09620	NCU00556
