#TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T013940_2.00	F026_2.00	TS69_2.00	M01649_2.00	MS64_2.00	NCU01414	Asm-1	Neurospora_crassa	I	APSES	KilA-N	1	0.6503772477172199	pTH9236	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Misc	http://hugheslab.med.utoronto.ca/	2018	Jan	19
T013940_2.00	F026_2.00	TS69_2.00	M01651_2.00	MS64_2.00	NCU01414	Asm-1	Neurospora_crassa	I	APSES	KilA-N	1	0.6503772477172199	pTH9346	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Misc	http://hugheslab.med.utoronto.ca/	2018	Jan	19
T013940_2.00	F026_2.00	TS69_2.00	M01652_2.00	MS64_2.00	NCU01414	Asm-1	Neurospora_crassa	I	APSES	KilA-N	1	0.6503772477172199	pTH9267	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Misc	http://hugheslab.med.utoronto.ca/	2018	Jan	19
T013940_2.00	F026_2.00	TS69_2.00	M09761_2.00	MS59_2.00	NCU01414	Asm-1	Neurospora_crassa	I	APSES	KilA-N	1	0.6503772477172199	F$STUAP_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Misc	http://hugheslab.med.utoronto.ca/	2018	Jan	19
T013941_2.00	F026_2.00	TS69_2.00	.	.	NCU06560	NCU06560	Neurospora_crassa	N	APSES	KilA-N	1	0.6503772477172199	.	.	.	.	.	.	.	.	SimilarityRegression	False	Misc	http://hugheslab.med.utoronto.ca/	2018	Jan	19
T013942_2.00	F026_2.00	TS69_2.00	M01653_2.00	MS64_2.00	NCU07246	NCU07246	Neurospora_crassa	D	APSES	KilA-N	1	0.6503772477172199	pTH8957	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Misc	http://hugheslab.med.utoronto.ca/	2018	Jan	19
T013943_2.00	F026_2.00	TS69_2.00	M01654_2.00	MS64_2.00	NCU07587	NCU07587	Neurospora_crassa	D	APSES	KilA-N	1	0.6503772477172199	pTH9687	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Misc	http://hugheslab.med.utoronto.ca/	2018	Jan	19
T016221_2.00	F028_2.00	TS69_2.00	M01669_2.00	MS64_2.00	NCU01238	NCU01238	Neurospora_crassa	D	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH8942	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Misc	http://hugheslab.med.utoronto.ca/	2018	Jan	19
T016222_2.00	F028_2.00	TS69_2.00	M01670_2.00	MS64_2.00	NCU03892	NCU03892	Neurospora_crassa	D	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH8975	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Misc	http://hugheslab.med.utoronto.ca/	2018	Jan	19
T016223_2.00	F028_2.00	TS69_2.00	.	.	NCU05891	NCU05891	Neurospora_crassa	N	ARID/BRIGHT	ARID	1	0.42223096627141105	.	.	.	.	.	.	.	.	SimilarityRegression	False	Misc	http://hugheslab.med.utoronto.ca/	2018	Jan	19
