# Species	Genes	Alg.-Conn.	Penicillium_sp_2HH.fasta	A.nidulans_FGSC_A4_v.s10-m04-r16.fasta
2	4	0.245	PECH_001287	AN0525,AN2469,AN7268
2	4	0.14	PECH_006604,PECH_001326	AN7908,AN2632
2	4	0.144	PECH_002711,PECH_002512	AN7624,AN7152
2	3	0.328	PECH_007785	AN10815,AN7339
2	3	0.327	PECH_007784	AN1866,AN7868
2	3	0.329	PECH_007684	AN3730,AN7511
2	3	0.33	PECH_007381	AN0497,AN6461
2	3	0.333	PECH_007277	AN2530,AN3555
2	3	0.325	PECH_007142	AN6778,AN7137
2	3	0.329	PECH_007135,PECH_008706	AN7619
2	3	0.326	PECH_007127,PECH_007128	AN8081
2	3	0.332	PECH_006638,PECH_007099	AN4852
2	3	0.327	PECH_006562	AN0878,AN0901
2	3	0.326	PECH_006409,PECH_008409	AN10499
2	3	0.333	PECH_006253	AN5690,AN8454
2	3	0.331	PECH_006135,PECH_007871	AN3883
2	3	0.326	PECH_005738	AN2607,AN2706
2	3	0.324	PECH_005689	AN10062,AN5559
2	3	0.327	PECH_005551,PECH_006003	AN11053
2	3	0.329	PECH_005519	AN2286,AN8979
2	3	0.329	PECH_005317,PECH_005550	AN4367
2	3	0.333	PECH_005312	AN2578,AN8395
2	3	0.328	PECH_005179,PECH_007264	AN2541
2	3	0.327	PECH_004967	AN3041,AN3398
2	3	0.332	PECH_004948,PECH_005234	AN8890
2	3	0.327	PECH_004875	AN0016,AN1242
2	3	0.324	PECH_004855,PECH_006571	AN8656
2	4	0.49	PECH_004715,PECH_007955	AN0734,AN2426
2	3	0.322	PECH_004517	AN10126,AN8494
2	3	0.332	PECH_004465	AN2331,AN2569
2	3	0.33	PECH_008095	AN7900,AN8162
2	3	0.328	PECH_004164,PECH_005320	AN12477
2	3	0.333	PECH_004129	AN2422,AN2785
2	3	0.332	PECH_004076,PECH_004817	AN2781
2	3	0.329	PECH_004029	AN11097,AN8106
2	3	0.33	PECH_004013	AN10122,AN10690
2	3	0.323	PECH_003905	AN5360,AN9313
2	3	0.33	PECH_003897,PECH_006271	AN6082
2	3	0.331	PECH_003700	AN0009,AN1100
2	3	0.327	PECH_003678,PECH_007369	AN6888
2	3	0.33	PECH_003603,PECH_004518	AN10862
2	3	0.322	PECH_003510	AN5639,AN9444
2	3	0.328	PECH_003468	AN0010,AN1101
2	3	0.333	PECH_003368	AN5292,AN7640
2	3	0.325	PECH_003214	AN3235,AN8521
2	3	0.327	PECH_003206	AN3053,AN6948
2	3	0.327	PECH_003134	AN1611,AN8351
2	3	0.329	PECH_003074,PECH_003605	AN0250
2	3	0.332	PECH_003059,PECH_003067	AN2390
2	3	0.33	PECH_003019	AN12192,AN3979
2	3	0.332	PECH_002902	AN0606,AN7066
2	3	0.332	PECH_002826,PECH_008875	AN3679
2	3	0.327	PECH_002780	AN6470,AN8969
2	3	0.33	PECH_002679,PECH_006433	AN5887
2	3	0.326	PECH_002523	AN10974,AN11095
2	3	0.33	PECH_008202	AN2573,AN9275
2	3	0.333	PECH_002079	AN2108,AN6419
2	3	0.324	PECH_002012,PECH_008002	AN10770
2	3	0.329	PECH_008641	AN1681,AN2729
2	3	0.327	PECH_002008,PECH_004283	AN10867
2	3	0.33	PECH_001644,PECH_002378	AN1041
2	4	0.484	PECH_001396,PECH_005289	AN5397,AN9170
2	3	0.328	PECH_001340,PECH_006150	AN11039
2	3	0.328	PECH_008930	AN11208,AN2651
2	3	0.324	PECH_009003	AN5076,AN7847
2	3	0.327	PECH_001261,PECH_007978	AN8889
2	3	0.327	PECH_000857,PECH_006460	AN3515
2	3	0.329	PECH_000839,PECH_001434	AN6791
2	3	0.333	PECH_000780	AN1301,AN7161
