# Species	Genes	Alg.-Conn.	Penicillium_sp_2HH.fasta	P.oxalicum_114-2.fasta
2	4	0.144	PECH_006797,PECH_002543	PDE_04000,PDE_04004
2	3	0.328	PECH_007127,PECH_007128	PDE_06579
2	3	0.327	PECH_005772	PDE_01249,PDE_05938
2	3	0.325	PECH_005178	PDE_07111,PDE_09429
2	4	0.486	PECH_004715,PECH_007955	PDE_00232,PDE_08392
2	3	0.327	PECH_003589	PDE_02136,PDE_04012
2	3	0.327	PECH_002788,PECH_005399	PDE_04381
2	3	0.326	PECH_008961	PDE_02119,PDE_06617
2	3	0.321	PECH_002164,PECH_004443	PDE_04305
2	3	0.329	PECH_002008,PECH_004283	PDE_03618
2	3	0.326	PECH_001488,PECH_005220	PDE_04140
2	3	0.33	PECH_001235,PECH_005951	PDE_04286
2	3	0.333	PECH_000997,PECH_003968	PDE_01057
2	2	1	PECH_000014	PDE_01865
2	2	1	PECH_000015	PDE_01866
2	2	1	PECH_000016	PDE_01867
2	2	1	PECH_000017	PDE_01868
2	2	1	PECH_000018	PDE_01869
2	2	1	PECH_000019	PDE_01870
2	2	1	PECH_000020	PDE_01871
2	2	1	PECH_000021	PDE_01872
2	2	1	PECH_000022	PDE_01873
2	2	1	PECH_000023	PDE_01874
2	2	1	PECH_000024	PDE_01887
2	2	1	PECH_000025	PDE_01877
2	2	1	PECH_000026	PDE_01876
2	2	1	PECH_000027	PDE_01875
2	2	1	PECH_000028	PDE_01892
2	2	1	PECH_000029	PDE_01893
2	2	1	PECH_000030	PDE_01894
2	2	1	PECH_000031	PDE_01895
2	2	1	PECH_000032	PDE_01896
2	2	1	PECH_000033	PDE_01897
2	2	1	PECH_000034	PDE_01898
2	2	1	PECH_000035	PDE_01888
2	2	1	PECH_000036	PDE_01889
2	2	1	PECH_000037	PDE_01890
2	2	1	PECH_000038	PDE_01899
2	2	1	PECH_000039	PDE_01901
2	2	1	PECH_000040	PDE_01902
2	2	1	PECH_000041	PDE_01913
2	2	1	PECH_000042	PDE_01217
2	2	1	PECH_000043	PDE_01912
2	2	1	PECH_000044	PDE_01911
2	2	1	PECH_000045	PDE_01910
2	2	1	PECH_000046	PDE_01909
2	2	1	PECH_000047	PDE_01908
2	2	1	PECH_000048	PDE_01907
2	2	1	PECH_000049	PDE_01906
2	2	1	PECH_000050	PDE_01905
2	2	1	PECH_000051	PDE_01904
2	2	1	PECH_000052	PDE_02308
2	2	1	PECH_000053	PDE_02307
2	2	1	PECH_000054	PDE_02306
2	2	1	PECH_000055	PDE_02305
2	2	1	PECH_000056	PDE_02304
2	2	1	PECH_000057	PDE_02303
2	2	1	PECH_000058	PDE_02302
2	2	1	PECH_000059	PDE_02301
2	2	1	PECH_000061	PDE_02299
2	2	1	PECH_000062	PDE_02298
2	2	1	PECH_000064	PDE_02297
2	2	1	PECH_000065	PDE_02296
2	2	1	PECH_000066	PDE_00858
2	2	1	PECH_000067	PDE_02295
2	2	1	PECH_000068	PDE_02294
2	2	1	PECH_000069	PDE_02292
2	2	1	PECH_000070	PDE_02291
2	2	1	PECH_000071	PDE_02290
2	2	1	PECH_000072	PDE_02289
2	2	1	PECH_000074	PDE_02287
2	2	1	PECH_000075	PDE_02285
2	2	1	PECH_000076	PDE_02284
2	2	1	PECH_000077	PDE_02282
2	2	1	PECH_000079	PDE_02281
2	2	1	PECH_000080	PDE_08856
2	2	1	PECH_000082	PDE_02275
2	2	1	PECH_000083	PDE_02274
2	2	1	PECH_000085	PDE_02272
2	2	1	PECH_000086	PDE_02271
2	2	1	PECH_000088	PDE_02270
2	2	1	PECH_000089	PDE_02269
2	2	1	PECH_000090	PDE_02268
2	2	1	PECH_000092	PDE_02264
2	2	1	PECH_000093	PDE_02262
2	2	1	PECH_000095	PDE_02259
2	2	1	PECH_000096	PDE_02258
2	2	1	PECH_000097	PDE_02257
2	2	1	PECH_000098	PDE_02255
2	2	1	PECH_000099	PDE_02254
2	2	1	PECH_000100	PDE_02253
2	2	1	PECH_000101	PDE_02252
2	2	1	PECH_000102	PDE_02251
2	2	1	PECH_000103	PDE_02250
2	2	1	PECH_000104	PDE_02249
2	2	1	PECH_000105	PDE_02248
2	2	1	PECH_000106	PDE_02247
2	2	1	PECH_000107	PDE_02246
2	2	1	PECH_000108	PDE_02245
2	2	1	PECH_000109	PDE_02244
2	2	1	PECH_000110	PDE_02243
2	2	1	PECH_000111	PDE_02242
2	2	1	PECH_000112	PDE_02241
2	2	1	PECH_000113	PDE_02236
2	2	1	PECH_000114	PDE_02235
2	2	1	PECH_000115	PDE_02234
2	2	1	PECH_000116	PDE_02233
2	2	1	PECH_000117	PDE_02232
2	2	1	PECH_000118	PDE_02231
2	2	1	PECH_000119	PDE_02230
2	2	1	PECH_000120	PDE_02229
2	2	1	PECH_000122	PDE_02227
