#TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T000244_2.00	F007_2.00	TS12_2.00	.	.	PDE_07445	PDE_07445	Penicillium_oxalicum	N	AFT	AFT	1	0.7	.	.	.	.	.	.	.	.	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012178_2.00	F026_2.00	TS12_2.00	M00003_2.00	MS01_2.00	PDE_02036	PDE_02036	Penicillium_oxalicum	I	APSES	KilA-N	1	0.6503772477172199	MBP1_4486	PBM	Badis08	PBM	Badis	2008	19111667	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012178_2.00	F026_2.00	TS12_2.00	M01102_2.00	MS57_2.00	PDE_02036	PDE_02036	Penicillium_oxalicum	I	APSES	KilA-N	1	0.6503772477172199	pTH9838	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012178_2.00	F026_2.00	TS12_2.00	M01514_2.00	MS63_2.00	PDE_02036	PDE_02036	Penicillium_oxalicum	I	APSES	KilA-N	1	0.6503772477172199	Mbp1	PBM	Zhu09	PBM	Zhu	2009	19158363	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012178_2.00	F026_2.00	TS12_2.00	M01650_2.00	MS64_2.00	PDE_02036	PDE_02036	Penicillium_oxalicum	I	APSES	KilA-N	1	0.6503772477172199	pTH8232	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012178_2.00	F026_2.00	TS12_2.00	M01653_2.00	MS64_2.00	PDE_02036	PDE_02036	Penicillium_oxalicum	I	APSES	KilA-N	1	0.6503772477172199	pTH8957	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012178_2.00	F026_2.00	TS12_2.00	M01654_2.00	MS64_2.00	PDE_02036	PDE_02036	Penicillium_oxalicum	I	APSES	KilA-N	1	0.6503772477172199	pTH9687	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012178_2.00	F026_2.00	TS12_2.00	M07434_2.00	MS31_2.00	PDE_02036	PDE_02036	Penicillium_oxalicum	I	APSES	KilA-N	1	0.6503772477172199	MA0329.1	PBM, CSA and or DIP-chip	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012178_2.00	F026_2.00	TS12_2.00	M08472_2.00	MS13_2.00	PDE_02036	PDE_02036	Penicillium_oxalicum	I	APSES	KilA-N	1	0.6503772477172199	YDL056W_500	Misc	DeBoer11	Misc	DeBoer	2011	22102575	June 2011	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012179_2.00	F026_2.00	TS12_2.00	M01649_2.00	MS64_2.00	PDE_04095	PDE_04095	Penicillium_oxalicum	I	APSES	KilA-N	1	0.6503772477172199	pTH9236	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012179_2.00	F026_2.00	TS12_2.00	M01651_2.00	MS64_2.00	PDE_04095	PDE_04095	Penicillium_oxalicum	I	APSES	KilA-N	1	0.6503772477172199	pTH9346	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012179_2.00	F026_2.00	TS12_2.00	M01652_2.00	MS64_2.00	PDE_04095	PDE_04095	Penicillium_oxalicum	I	APSES	KilA-N	1	0.6503772477172199	pTH9267	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012179_2.00	F026_2.00	TS12_2.00	M09761_2.00	MS59_2.00	PDE_04095	PDE_04095	Penicillium_oxalicum	I	APSES	KilA-N	1	0.6503772477172199	F$STUAP_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012180_2.00	F026_2.00	TS12_2.00	.	.	PDE_07554	PDE_07554	Penicillium_oxalicum	N	APSES	KilA-N	1	0.6503772477172199	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T012181_2.00	F026_2.00	TS12_2.00	.	.	PDE_09266	PDE_09266	Penicillium_oxalicum	N	APSES	KilA-N	1	0.6503772477172199	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T015410_2.00	F028_2.00	TS12_2.00	.	.	PDE_04763	PDE_04763	Penicillium_oxalicum	N	ARID/BRIGHT	ARID	1	0.42223096627141105	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T015411_2.00	F028_2.00	TS12_2.00	M01669_2.00	MS64_2.00	PDE_09498	PDE_09498	Penicillium_oxalicum	I	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH8942	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017713_2.00	F039_2.00	TS12_2.00	M00008_2.00	MS01_2.00	PDE_02257	PDE_02257	Penicillium_oxalicum	I	AT hook	AT_hook	1	0.989594959467439	SUM1_2124	PBM	Badis08	PBM	Badis	2008	19111667	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017713_2.00	F039_2.00	TS12_2.00	M00750_2.00	MS17_2.00	PDE_02257	PDE_02257	Penicillium_oxalicum	I	AT hook	AT_hook	1	0.989594959467439	pTH2361	PBM	DREAM_contest	PBM	Weirauch	2013	23354101	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017713_2.00	F039_2.00	TS12_2.00	M00751_2.00	MS17_2.00	PDE_02257	PDE_02257	Penicillium_oxalicum	I	AT hook	AT_hook	1	0.989594959467439	pTH3046	PBM	DREAM_contest	PBM	Weirauch	2013	23354101	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017713_2.00	F039_2.00	TS12_2.00	M01103_2.00	MS57_2.00	PDE_02257	PDE_02257	Penicillium_oxalicum	I	AT hook	AT_hook	1	0.989594959467439	pTH9309	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017713_2.00	F039_2.00	TS12_2.00	M01104_2.00	MS57_2.00	PDE_02257	PDE_02257	Penicillium_oxalicum	I	AT hook	AT_hook	1	0.989594959467439	pTH11377	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017713_2.00	F039_2.00	TS12_2.00	M01105_2.00	MS57_2.00	PDE_02257	PDE_02257	Penicillium_oxalicum	I	AT hook	AT_hook	1	0.989594959467439	pTH11412	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017713_2.00	F039_2.00	TS12_2.00	M01106_2.00	MS57_2.00	PDE_02257	PDE_02257	Penicillium_oxalicum	I	AT hook	AT_hook	1	0.989594959467439	pTH11493	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017713_2.00	F039_2.00	TS12_2.00	M01107_2.00	MS57_2.00	PDE_02257	PDE_02257	Penicillium_oxalicum	I	AT hook	AT_hook	1	0.989594959467439	pTH11338	PBM	TF_Evolution	PBM	Lambert	2019	NULL	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
