# Species	Genes	Alg.-Conn.	Pucsensis_2HH.fasta	Scerevisiae_S288C.fasta
2	7	0.136	PECH_000858	YBR299W,YGR287C,YGR292W,YIL172C,YJL221C,YOL157C
2	5	0.101	PECH_001472,PECH_002677,PECH_008776	YGR224W,YKR105C
2	5	0.194	PECH_004842	YAL005C,YBL075C,YER103W,YLL024C
2	5	0.199	PECH_008549	YDL244W,YFL058W,YJR156C,YNL332W
2	4	0.244	PECH_003288	YDL246C,YJR159W,YLR070C
2	4	0.248	PECH_000759	YDR038C,YDR039C,YDR040C
2	4	0.242	PECH_006710	YDR155C,YDR304C,YHR057C
2	4	0.145	PECH_004324,PECH_001285	YDL138W,YDL194W
2	4	0.242	PECH_007709	YML072C,YNL087W,YOR086C
2	4	0.14	PECH_000203,PECH_001043	YBR249C,YDR035W
2	4	0.243	PECH_005131	YDR541C,YGL157W,YOL151W
2	4	0.239	PECH_001320,PECH_005121,PECH_005852	YBR222C
2	4	0.239	PECH_000840,PECH_006922,PECH_008930	YOR049C
2	4	0.242	PECH_005519	YMR083W,YMR303C,YOL086C
2	4	0.235	PECH_004334	YAL007C,YDL018C,YOR016C
2	4	0.249	PECH_008659	YFL059W,YMR096W,YNL333W
2	4	0.244	PECH_001221	YGR087C,YLR044C,YLR134W
2	4	0.246	PECH_006163	YGR192C,YJL052W,YJR009C
2	4	0.141	PECH_003813,PECH_004260	YLR043C,YGR209C
2	4	0.247	PECH_008191	YCR102C,YLR460C,YNL134C
2	4	0.247	PECH_005713	YHR216W,YLR432W,YML056C
2	4	0.245	PECH_009020	YIL123W,YKR042W,YNL066W
2	4	0.142	PECH_002995,PECH_003210	YBR015C,YJL186W
2	4	0.239	PECH_004997	YJL164C,YKL166C,YPL203W
2	4	0.242	PECH_008123	YBL068W,YER099C,YHL011C
2	4	0.14	PECH_000334,PECH_007372	YLR121C,YLR120C
2	4	0.246	PECH_000510	YBL042C,YBR021W,YIR028W
2	4	0.241	PECH_004216	YBL030C,YBR085W,YMR056C
2	5	0.377	PECH_004007,PECH_005181	YDR406W,YOR153W,YOR328W
2	6	0.467	PECH_003276,PECH_003520,PECH_004030	YEL063C,YNL268W,YNL270C
2	3	0.331	PECH_008062	YMR253C,YPL264C
2	3	0.326	PECH_001720	YAR042W,YDL019C
2	3	0.333	PECH_002732	YMR242C,YOR312C
2	3	0.333	PECH_007629	YBL002W,YDR224C
2	3	0.333	PECH_007630	YBL003C,YDR225W
2	3	0.332	PECH_005693	YMR237W,YOR299W
2	3	0.331	PECH_001133	YMR230W,YOR293W
2	3	0.328	PECH_004237	YMR222C,YOR280C
2	3	0.331	PECH_007360	YMR215W,YOL132W
2	3	0.332	PECH_002468	YMR194W,YPL249C-A
2	3	0.333	PECH_003339	YMR186W,YPL240C
2	3	0.331	PECH_001114	YBL016W,YGR040W
2	4	0.485	PECH_000815,PECH_006231	YMR169C,YMR170C
2	3	0.332	PECH_001392,PECH_006177	YMR266W
2	3	0.333	PECH_002198	YMR008C,YOL011W
2	3	0.325	PECH_004613	YML106W,YMR271C
2	3	0.332	PECH_001027	YML100W,YMR261C
2	3	0.332	PECH_004083	YML085C,YML124C
2	3	0.328	PECH_001430,PECH_007684	YMR307W
2	3	0.333	PECH_006838	YBL027W,YBR084C-A
2	3	0.329	PECH_000407,PECH_007831	YMR315W
2	3	0.331	PECH_004549	YLR456W,YPR172W
2	3	0.331	PECH_005705	YLR450W,YML075C
2	3	0.333	PECH_003466	YLR441C,YML063W
2	3	0.329	PECH_008518	YLR433C,YML057W
2	3	0.328	PECH_000944	YLR300W,YOR190W
2	3	0.33	PECH_000130	YBL039C,YJR103W
2	3	0.333	PECH_006007	YLR293C,YOR185C
2	3	0.333	PECH_007849	YLR287C-A,YOR182C
2	3	0.332	PECH_005358,PECH_006936	YMR318C
2	3	0.326	PECH_008400	YLR270W,YOR173W
2	3	0.332	PECH_001098	YLR264W,YOR167C
2	3	0.333	PECH_001637	YLR260W,YOR171C
2	3	0.33	PECH_008060	YBL056W,YER089C
2	3	0.33	PECH_001597	YLR249W,YNL014W
2	3	0.328	PECH_000990,PECH_007927	YLR220W
2	3	0.332	PECH_006927	YNL096C,YOR096W
2	3	0.333	PECH_006229,PECH_007972	YBL064C
2	3	0.329	PECH_006712	YLR028C,YMR120C
2	3	0.332	PECH_001943	YAL062W,YOR375C
2	3	0.328	PECH_004321	YLL012W,YLR020C
2	3	0.333	PECH_005797	YBL072C,YER102W
2	3	0.329	PECH_006210	YKR089C,YOR081C
2	3	0.327	PECH_000715,PECH_005918	YKR070W
2	3	0.327	PECH_001717	YKL220C,YOR381W
2	3	0.33	PECH_001985	YKL129C,YMR109W
2	3	0.332	PECH_004533	YKL126W,YMR104C
2	3	0.333	PECH_006021	YBL087C,YER117W
2	3	0.327	PECH_005314	YBL089W,YER119C
2	3	0.327	PECH_001663	YKL081W,YPL048W
2	3	0.333	PECH_004867,PECH_004992	YJR153W
2	3	0.333	PECH_007608	YJR094W-A,YPR043W
2	3	0.327	PECH_005130	YJR066W,YKL203C
2	3	0.333	PECH_002784,PECH_005167	YJL212C
2	3	0.333	PECH_006526	YJL190C,YLR367W
