# Species	Genes	Alg.-Conn.	Pucsensis_2HH.fasta	Ncrassa_OR74A_v.12.fasta
2	6	0.163	PECH_002631	NCU00451,NCU04904,NCU04905,NCU04907,NCU05842
2	4	0.145	PECH_001434,PECH_000839	NCU04865,NCU06013
2	4	0.242	PECH_000869,PECH_004867,PECH_004992	NCU02369
2	4	0.145	PECH_008417,PECH_002196	NCU08738,NCU05079
2	4	0.239	PECH_000154,PECH_001341,PECH_002134	NCU09564
2	4	0.242	PECH_002821,PECH_006769,PECH_007277	NCU09364
2	4	0.241	PECH_003276,PECH_003520,PECH_004030	NCU05168
2	4	0.243	PECH_004323,PECH_004776,PECH_005545	NCU06619
2	4	0.241	PECH_005093,PECH_006370,PECH_007774	NCU04195
2	3	0.323	PECH_008086	NCU05886,NCU10512
2	3	0.331	PECH_008064	NCU00836,NCU03328
2	3	0.331	PECH_007591,PECH_008244	NCU00008
2	3	0.326	PECH_007106	NCU02096,NCU10051
2	3	0.322	PECH_006852	NCU01107,NCU08699
2	3	0.331	PECH_006607,PECH_007584	NCU04695
2	3	0.333	PECH_006456,PECH_008386	NCU00187
2	3	0.328	PECH_006277,PECH_008092	NCU04913
2	3	0.325	PECH_006229,PECH_007972	NCU06031
2	3	0.329	PECH_006118,PECH_007828	NCU04554
2	3	0.327	PECH_005971	NCU04312,NCU04534
2	3	0.328	PECH_005551,PECH_006003	NCU03805
2	3	0.325	PECH_005460,PECH_006066	NCU09519
2	3	0.332	PECH_000034,PECH_007754	NCU09823
2	3	0.331	PECH_005301,PECH_005870	NCU04653
2	3	0.328	PECH_005254,PECH_008328	NCU00364
2	3	0.333	PECH_005237	NCU00810,NCU05956
2	3	0.33	PECH_008120,PECH_008851	NCU05858
2	3	0.331	PECH_005049	NCU04721,NCU10359
2	3	0.328	PECH_004863	NCU02930,NCU09141
2	3	0.332	PECH_004783,PECH_006731	NCU01852
2	4	0.494	PECH_004715,PECH_007955	NCU00212,NCU01634
2	3	0.327	PECH_004667,PECH_006434	NCU06009
2	3	0.329	PECH_004658,PECH_007994	NCU06005
2	3	0.333	PECH_004589,PECH_007953	NCU00306
2	3	0.323	PECH_004528,PECH_008182	NCU07175
2	3	0.331	PECH_004364	NCU07815,NCU08988
2	3	0.332	PECH_008200	NCU01162,NCU07253
2	3	0.332	PECH_004115	NCU05187,NCU05189
2	3	0.331	PECH_003687	NCU02317,NCU09182
2	3	0.333	PECH_003681	NCU07338,NCU08232
2	3	0.331	PECH_003678,PECH_007369	NCU00994
2	3	0.327	PECH_003633,PECH_007835	NCU08409
2	3	0.319	PECH_003603,PECH_008402	NCU04418
2	3	0.332	PECH_003591,PECH_006630	NCU09852
2	3	0.327	PECH_003528,PECH_004285	NCU07487
2	3	0.328	PECH_003446,PECH_004044	NCU08076
2	3	0.323	PECH_008277	NCU04592,NCU16596
2	3	0.332	PECH_003220,PECH_008585	NCU01680
2	3	0.332	PECH_003166,PECH_008732	NCU08402
2	3	0.329	PECH_003074,PECH_003605	NCU06138
2	3	0.326	PECH_002899,PECH_008087	NCU09798
2	3	0.331	PECH_002838	NCU01095,NCU05862
2	3	0.327	PECH_002826,PECH_008875	NCU09821
2	3	0.331	PECH_008307	NCU04942,NCU07754
2	3	0.331	PECH_002782	NCU02329,NCU11291
2	3	0.326	PECH_002775	NCU04167,NCU09906
2	3	0.329	PECH_008311,PECH_008856	NCU06847
2	3	0.329	PECH_002517,PECH_006489	NCU09672
2	3	0.327	PECH_002513,PECH_004182	NCU04809
2	3	0.333	PECH_002393	NCU02507,NCU08794
2	3	0.326	PECH_008365,PECH_008967	NCU00028
2	3	0.329	PECH_002171,PECH_006152	NCU05500
2	3	0.33	PECH_002151,PECH_008458	NCU07649
2	3	0.325	PECH_001907,PECH_007260	NCU07452
2	3	0.328	PECH_001576,PECH_004307	NCU02191
2	3	0.331	PECH_001445	NCU03049,NCU05885
2	3	0.332	PECH_001433	NCU05012,NCU06012
2	3	0.325	PECH_001430,PECH_007684	NCU08909
2	3	0.329	PECH_001392,PECH_006177	NCU06986
2	3	0.323	PECH_001312,PECH_008838	NCU00811
2	3	0.333	PECH_001305,PECH_003540	NCU05630
2	3	0.332	PECH_001236	NCU03478,NCU07464
2	3	0.33	PECH_001125,PECH_001858	NCU07127
2	3	0.33	PECH_001069	NCU02783,NCU05830
2	4	0.487	PECH_000985,PECH_004612	NCU02478,NCU08132
2	3	0.33	PECH_000953,PECH_001871	NCU04594
2	3	0.33	PECH_000941,PECH_007131	NCU03404
2	3	0.33	PECH_000132,PECH_000767	NCU06058
2	3	0.328	PECH_000925	NCU04856,NCU06724
2	3	0.328	PECH_000877	NCU00905,NCU04092
2	3	0.328	PECH_008961	NCU05192,NCU05855
2	3	0.328	PECH_000857,PECH_006460	NCU06522
2	3	0.331	PECH_009001	NCU05317,NCU07484
2	3	0.329	PECH_000815,PECH_006231	NCU00378
2	3	0.317	PECH_000684,PECH_004909	NCU03753
2	3	0.332	PECH_000541,PECH_005492	NCU16721
2	3	0.326	PECH_000524,PECH_002103	NCU08412
2	3	0.333	PECH_000489,PECH_000490	NCU09372
2	3	0.333	PECH_000488,PECH_004592	NCU01633
2	3	0.332	PECH_000474	NCU00755,NCU07720
2	3	0.329	PECH_000459,PECH_008966	NCU06010
2	3	0.326	PECH_000003,PECH_000825	NCU08858
2	3	0.332	PECH_000422,PECH_004814	NCU03486
2	3	0.329	PECH_000407,PECH_007831	NCU09794
2	3	0.333	PECH_000290,PECH_003527	NCU08399
2	3	0.332	PECH_000281,PECH_000382	NCU02887
2	3	0.331	PECH_000277	NCU07609,NCU09039
2	2	1	PECH_000167	NCU05433
2	2	1	PECH_000168	NCU16560
2	2	1	PECH_000169	NCU01772
2	2	1	PECH_000172	NCU06856
2	2	1	PECH_000173	NCU06855
2	2	1	PECH_000174	NCU06854
2	2	1	PECH_000176	NCU01454
2	2	1	PECH_000177	NCU08783
2	2	1	PECH_000181	NCU08018
2	2	1	PECH_000188	NCU03555
2	2	1	PECH_000192	NCU03742
2	2	1	PECH_000193	NCU01524
2	2	1	PECH_000194	NCU01523
2	2	1	PECH_000196	NCU05427
2	2	1	PECH_000198	NCU04933
2	2	1	PECH_000199	NCU00735
2	2	1	PECH_000200	NCU00742
2	2	1	PECH_000201	NCU00743
2	2	1	PECH_000203	NCU09817
2	2	1	PECH_000205	NCU00741
2	2	1	PECH_000206	NCU09816
2	2	1	PECH_000211	NCU06625
2	2	1	PECH_000212	NCU03658
2	2	1	PECH_000213	NCU05618
2	2	1	PECH_000214	NCU02208
2	2	1	PECH_000215	NCU10895
2	2	1	PECH_000216	NCU02203
2	2	1	PECH_000217	NCU02204
2	2	1	PECH_000219	NCU00794
2	2	1	PECH_000221	NCU02775
2	2	1	PECH_000227	NCU02553
2	2	1	PECH_000228	NCU06750
2	2	1	PECH_000229	NCU07143
2	2	1	PECH_000230	NCU11382
2	2	1	PECH_000231	NCU00088
2	2	1	PECH_000232	NCU08000
2	2	1	PECH_000233	NCU09579
2	2	1	PECH_000235	NCU09034
2	2	1	PECH_000236	NCU09035
2	2	1	PECH_000238	NCU07823
2	2	1	PECH_000239	NCU06905
2	2	1	PECH_000242	NCU04358
2	2	1	PECH_000243	NCU03283
2	2	1	PECH_000244	NCU04130
2	2	1	PECH_000247	NCU11396
2	2	1	PECH_000248	NCU08406
2	2	1	PECH_000252	NCU00737
2	2	1	PECH_000253	NCU09818
2	2	1	PECH_000256	NCU02744
2	2	1	PECH_000258	NCU00782
2	2	1	PECH_000263	NCU02207
2	2	1	PECH_000264	NCU09819
2	2	1	PECH_000267	NCU02202
2	2	1	PECH_000269	NCU00792
2	2	1	PECH_000271	NCU08626
2	2	1	PECH_000276	NCU07610
2	2	1	PECH_000165	NCU09469
2	2	1	PECH_000278	NCU07788
2	2	1	PECH_000280	NCU06931
2	2	1	PECH_000162	NCU04936
2	2	1	PECH_000284	NCU01735
2	2	1	PECH_000286	NCU06720
2	2	1	PECH_000161	NCU09887
2	2	1	PECH_000294	NCU08173
2	2	1	PECH_000297	NCU09308
