#TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T011740_2.00	F026_2.00	TS12_2.00	.	.	AN0162	ANIA_00162	Aspergillus_nidulans	N	APSES	KilA-N	1	0.6503772477172199	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T011741_2.00	F026_2.00	TS12_2.00	M01649_2.00	MS64_2.00	AN5836	stuA	Aspergillus_nidulans	D	APSES	KilA-N	1	0.6503772477172199	pTH9236	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T011741_2.00	F026_2.00	TS12_2.00	M09761_2.00	MS59_2.00	AN5836	stuA	Aspergillus_nidulans	D	APSES	KilA-N	1	0.6503772477172199	F$STUAP_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T011742_2.00	F026_2.00	TS12_2.00	.	.	AN6715	ANIA_06715	Aspergillus_nidulans	N	APSES	KilA-N	1	0.6503772477172199	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T011743_2.00	F026_2.00	TS12_2.00	M01650_2.00	MS64_2.00	AN3154	ANIA_03154	Aspergillus_nidulans	D	APSES	KilA-N	1	0.6503772477172199	pTH8232	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014248_2.00	F028_2.00	TS12_2.00	M01669_2.00	MS64_2.00	AN8211	ANIA_08211	Aspergillus_nidulans	I	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH8942	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014249_2.00	F028_2.00	TS12_2.00	.	.	AN2905	ANIA_02905	Aspergillus_nidulans	N	ARID/BRIGHT	ARID	1	0.42223096627141105	.	.	.	.	.	.	.	.	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017288_2.00	F039_2.00	TS12_2.00	M01675_2.00	MS64_2.00	AN1690	ANIA_01690	Aspergillus_nidulans	D	AT hook	AT_hook	1	0.989594959467439	pTH8216	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017289_2.00	F039_2.00	TS12_2.00	M00008_2.00	MS01_2.00	AN9132	ANIA_09132	Aspergillus_nidulans	I	AT hook	AT_hook	1	0.989594959467439	SUM1_2124	PBM	Badis08	PBM	Badis	2008	19111667	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T017289_2.00	F039_2.00	TS12_2.00	M00750_2.00	MS17_2.00	AN9132	ANIA_09132	Aspergillus_nidulans	I	AT hook	AT_hook	1	0.989594959467439	pTH2361	PBM	DREAM_contest	PBM	Weirauch	2013	23354101	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
